# liste de tokens qui peuvent finir par un point qui n’est pas une ponctuation
A.
B.
C.
c.-à-d.
D.
E.
F.
G.
H.
J.
J.-J.
K.
L.
M.
MM.
N.
O.
P.
Q.
R.
S.
T.
U.
V.
W.
X.
Y.
Z.
p.
Mlle.
Melle.
