LEMMA,POS,FLAGS,ENTRY,OBSERVED_FORMS,GENERATED_FORMS,SOURCE_POS,PAST_PARTICIPLE_OF,EXACT_FLAG_ALTERNATIVES,REASON,NEAREST_FLAGS,NEAREST_GENERATED_FORMS
antiride,NOUN,S.,antiride/S. po:NOUN,antiride | antirides,antiride | antirides,NOUN,,S. F. A. S= F.Gs F.Gc F.Go,NOUN_HELD_FOR_REVIEW,,
apax,NOUN,,apax po:NOUN,apax,apax,NOUN,, S. F. Fs F+ Fc X. W. I. S= Fe Wx Fx yW aA aH pA pB pE tM xC yA yC zA zE a0p+ a0p. F.Gs F.Gc i0q+ F.Go FsGe b0p+ f0p+ i5q+ pCpD xSq+,NOUN_HELD_FOR_REVIEW,,
aplaventrisme,NOUN,S.,aplaventrisme/S. po:NOUN,aplaventrisme | aplaventrismes,aplaventrisme | aplaventrismes,NOUN,,S. F. A. S= F.Gs F.Gc F.Go,NOUN_HELD_FOR_REVIEW,,
apostériori,NOUN,S.,apostériori/S. po:NOUN,apostériori | apostérioris,apostériori | apostérioris,NOUN,,S. F+ A. I. S=,NOUN_HELD_FOR_REVIEW,,
appui-bras,NOUN,,appui-bras po:NOUN,appui-bras,appui-bras,NOUN,, S. Fs Fc X. W. I. S= Fe Wx Fx yW aA aH pA pB pE tM xC yA yC zA zE a0p+ a0p. i0q+ FsGe b0p+ f0p+ i5q+ pCpD xSq+,NOUN_HELD_FOR_REVIEW,,
appui-main,NOUN,,appui-main po:NOUN,appui-main,appui-main,NOUN,, Fs Fc X. W. Fe Wx yW aA aH pA pB pE tM xC yA yC zA zE a0p+ a0p. i0q+ FsGe b0p+ f0p+ i5q+ pCpD xSq+,NOUN_HELD_FOR_REVIEW,,
appui-tête,NOUN,,appui-tête po:NOUN,appui-tête,appui-tête,NOUN,, Fs Fc X. W. Fe Wx Fx yW aA aH pA pB pE tM xC yA yC zA zE a0p+ a0p. i0q+ FsGe b0p+ f0p+ i5q+ pCpD xSq+,NOUN_HELD_FOR_REVIEW,,
appuie-livre,NOUN,S.,appuie-livre/S. po:NOUN,appuie-livre | appuie-livres,appuie-livre | appuie-livres,NOUN,,S. F. A. S= F.Gs F.Gc F.Go,NOUN_HELD_FOR_REVIEW,,
appuis-bras,NOUN,,appuis-bras po:NOUN,appuis-bras,appuis-bras,NOUN,, S. Fs Fc X. W. I. S= Fe Wx Fx yW aA aH pA pB pE tM xC yA yC zA zE a0p+ a0p. i0q+ FsGe b0p+ f0p+ i5q+ pCpD xSq+,NOUN_HELD_FOR_REVIEW,,
appuis-main,NOUN,,appuis-main po:NOUN,appuis-main,appuis-main,NOUN,, Fs Fc X. W. Fe Wx yW aA aH pA pB pE tM xC yA yC zA zE a0p+ a0p. i0q+ FsGe b0p+ f0p+ i5q+ pCpD xSq+,NOUN_HELD_FOR_REVIEW,,
