GRAPH;TAG ?;ORTH
Wawerley;;Waverley
Weymar;;Weimar
Wilhem;;Wilhelm
Wishnou;;Vishnou
Wladislas;;Ladislas
Xantippe;;Xanthippe
Xercès;;Xerxès
Yurieva;;Iourieva
Zwéreff;;Zverev


# MOTS DE LA LANGUE
–;;—
accroche-coeur;;accroche-cœur
accroche-coeurs;;accroche-cœurs
âme-soeur;;âme-sœur
ann.;;annexe
arrête-boeuf;;arrête-bœuf
av.;;avant
avecque;;avec
avecques;;avec
voi;;vois
belle-soeur;;belle-sœur
belles-soeurs;;belles-sœurs
boeuf;;bœuf
boeuf;;bœuf
boeufs;;bœufs
chef-d'oeuvre;;chef-d'œuvre
chef-d'oeuvres;;chef-d'œuvres
chef-d’oeuvre;;chef-d’œuvre
chefs-d'oeuvre;;chefs-d'œuvre
choeur;;chœur
choeurs;;chœurs
choeurs;;chœurs
Christ;;Jésus-Christ
clin-d'oeil;;clin-d'œil
coeur;;cœur
coeur-poumons;;cœur-poumons
coeurs;;cœurs
consoeur;;consœur
consoeurs;;consœurs
contrecoeur;;contrecœur
demi-soeur;;demi-sœur
désoeuvre;;désœuvre
désoeuvré;;désœuvré
désoeuvré;;désœuvré
désoeuvré;;désœuvré
désoeuvrée;;désœuvrée
désoeuvrée;;désœuvrée
désoeuvrée;;désœuvrée
désoeuvrées;;désœuvrées
désoeuvrées;;désœuvrées
désoeuvrées;;désœuvrées
désoeuvrement;;désœuvrement
désoeuvrements;;désœuvrements
désoeuvrés;;désœuvrés
désoeuvrés;;désœuvrés
désoeuvrés;;désœuvrés
doncques;;donc
écoeura;;écœura
écoeuraient;;écœuraient
écoeurais;;écœurais
écoeurait;;écœurait
écoeurant;;écœurant
écoeurant;;écœurant
écoeurante;;écœurante
écoeurantes;;écœurantes
écoeurants;;écœurants
écoeure;;écœure
écoeuré;;écœuré
écoeuré;;écœuré
écoeurée;;écœurée
écoeurée;;écœurée
écoeurées;;écœurées
écoeurement;;écœurement
écoeurements;;écœurements
écoeurent;;écœurent
écoeurer;;écœurer
écoeurerais;;écœurerais
écoeurèrent;;écœurèrent
écoeurés;;écœurés
écoeurés;;écœurés
écoeurez;;écœurez
ed.;;édition
ed;;édition
éd.;;édition
encor;;encore
foetal;;fœtal
foetales;;fœtales
foetaux;;fœtaux
Haeckel;;Hæckel
haut-le-coeur;;haut-le-cœur
hélico;;hélicoptère
hors-d'oeuvre;;hors-d'œuvre
Jésus;;Jésus-Christ
joli-coeur;;joli-cœur
joli-coeur;;joli-cœur
main-d'oeuvre;;main-d'œuvre
maitre;;maître
manoeuvra;;manœuvra
manoeuvrabilité;;manœuvrabilité
manoeuvrable;;manœuvrable
manoeuvraient;;manœuvraient
manoeuvrais;;manœuvrais
manoeuvrait;;manœuvrait
manoeuvrant;;manœuvrant
manoeuvre;;manœuvre
manoeuvre;;manœuvre
manoeuvré;;manœuvré
manoeuvrée;;manœuvrée
manoeuvrées;;manœuvrées
manoeuvrent;;manœuvrent
manoeuvrer;;manœuvrer
manoeuvrèrent;;manœuvrèrent
manoeuvres;;manœuvres
manoeuvres;;manœuvres
manoeuvrés;;manœuvrés
manoeuvrez;;manœuvrez
manoeuvrier;;manœuvrier
manoeuvrière;;manœuvrière
manoeuvrière;;manœuvrière
manoeuvrières;;manœuvrières
manoeuvriers;;manœuvriers
manoeuvrons;;manœuvrons
moeur;;mœur
moeurs;;mœurs
noeud;;nœud
noeuds;;nœuds
oecuménique;;œcuménique
oecuméniques;;œcuméniques
oecuménisme;;œcuménisme
oedémateuse;;œdémateuse
oedème;;œdème
oedèmes;;œdèmes
oedipe;;œdipe
oedipien;;œdipien
oedipienne;;œdipienne
oeil;;œil
œil-de-boeuf;;œil-de-bœuf
oeillade;;œillade
oeillades;;œillades
oeillère;;œillère
oeillères;;œillères
oeillet;;œillet
oeilleton;;œilleton
oeilletons;;œilletons
oeillets;;œillets
oeillette;;œillette
oeils;;œils
œils-de-boeuf;;œils-de-bœuf
oeils-de-perdrix;;œils-de-perdrix
oenologie;;œnologie
oenologique;;œnologique
oenologues;;œnologues
oenophile;;œnophile
oenothère;;œnothère
oesophage;;œsophage
oesophages;;œsophages
oesophagien;;œsophagien
oesophagienne;;œsophagienne
oesophagiennes;;œsophagiennes
oestrogène;;œstrogène
oestrogène;;œstrogène
oestrogènes;;œstrogènes
oestrogènes;;œstrogènes
oeuf;;œuf
oeufs;;œufs
oeuvraient;;œuvraient
oeuvrait;;œuvrait
oeuvrant;;œuvrant
oeuvre;;œuvre
oeuvre;;œuvre
oeuvré;;œuvré
oeuvrent;;œuvrent
oeuvrer;;œuvrer
oeuvrera;;œuvrera
oeuvres;;œuvres
oeuvres;;œuvres
oeuvrette;;œuvrette
oeuvrettes;;œuvrettes
oeuvrez;;œuvrez
oeuvrions;;œuvrions
phoenix;;phœnix
pied-d'oeuvre;;pied-d'œuvre
pique-boeufs;;pique-bœufs
rancoeur;;rancœur
rancoeurs;;rancœurs
sizième;;sixième
sacré-coeur;;sacré-cœur
sans-coeur;;sans-cœur
soeur;;sœur
soeurette;;sœurette
soeurs;;sœurs
tape-à-l'oeil;;tape-à-l'œil
tape-à-l'oeil;;tape-à-l'œil
trompe-l'oeil;;trompe-l'œil
voeu;;vœu
voeux;;vœux

