Auteur	Total De Tokens	Occurrences du Mot	Date	Titre	
Walckenaer, Charles-Athanase (1771-1852)	3746726	1	1858	Histoire de la vie et des ouvrages de J. de La Fontaine. Tome 2,Edition 4 / par C.-A. Walckenaer,... // Notice biographique sur M. H. de Latouche, poète, littérateur et romancier. [Signé : E. Perraud de Thoury.] // Rivarol, sa vie et ses oeuvres / par M. Léonce Curnier,... // Beaumarchais et son temps : études sur la société en France au XVIIIe siècle d'après des documents inédits. T. 2 / par Louis de Loménie // Cours familier de littérature [V] // Adam Mickiewicz : sa vie et son oeuvre (Deuxième édition) / Ladislas Mickiewicz ; avec un portrait par Théophile Bérengier // Histoire de la vie et des ouvrages de J. de La Fontaine. Tome 1,Edition 4 / par C.-A. Walckenaer,... // Variétés littéraires, morales et historiques. T. II / par M. S. de Sacy,... // Athénée de Paris. Cours de littérature française. De la Poésie légère aux XVIIe, XVIIIe et XIXe siècles. Fragments du discours d'ouverture prononcé, le 16 novembre 1847, par Auguste Bolot,... // Cours familier de littérature [VI] // Montaigne. Publications relatives à Montaigne, faites par le docteur J.-F. Payen // Les écrivains normands au XVIIe siècle / par C. Hippeau,... // Question de l'orientalisme rendu classique : Divers comptes-rendus du spécimen d'orientalisme vulgarisé, intitulé : “Fleurs de l'Inde” / [par E. Masson, A. Mézières et L. Leupol] // Du vrai, du beau et du bien (7e éd.) // Variétés littéraires, morales et historiques. T. I / par M. S. de Sacy,... // Tableau de la littérature dramatique en Europe : depuis l'origine jusqu'à nos jours / par A. Philibert-Soupé,... // Beaumarchais et son temps : études sur la société en France au XVIIIe siècle d'après des documents inédits. T. 1 / par Louis de Loménie // Mémoires et correspondances historiques et littéraires inédits (1726 à 1816) / publ. par Charles Nisard // Études littéraires et historiques / par M. le baron de Barante,... // Balzac : sa vie et ses oeuvres, d'après sa correspondance / Mme L. Surville (née de Balzac) // La Tribune moderne. 1re partie. M. de Chateaubriand, sa vie, ses écrits, son influence littéraire et politique sur son temps, par M. Villemain,... // Choix d'études sur la littérature contemporaine ; [précédé des Rapports annuels sur les concours de l'Académie française, 1846-1856] / par M. Villemain,...	
Lamartine, Alphonse de (1790-1869)	2489320	0	1857	Cours familier de littérature [III] // Le poète Attius : étude sur la tragédie latine pendant la République : thèse présentée à la Faculté des lettres de Paris / par G. Boissier,... // Les troubadours et Pétrarque : thèse présentée à la Faculté des lettres de Paris / par Ch.-Ant. Gidel,... // Causeries du samedi // Études historiques et biographiques / par M. le baron de Barante,... // Histoire de la conversation / par Émile Deschanel // La Bruyère, quelques notes sur sa vie et ses moeurs / [signé : Édouard Fournier] // Articles justificatifs pour Charles Baudelaire, auteur des « Fleurs du mal » // Cours familier de littérature [IV] // Essai sur la question de l'originalité de Gil Blas, ou Nouvelles observations critiques sur ce roman, par Charles-Frédéric Franceson,... // La lorgnette littéraire : dictionnaire des grands et des petits auteurs de mon temps / par M. Charles Monselet // Chateaubriand / par Hippolyte Castille,.... // La vérité sur le cas de M. Champfleury / Hippolyte Babou	
Des Guerrois, Charles (1817-1916)	2436094	1	1856	Jean Passerat, poëte et savant ; par Charles Des Guerrois // Essai critique sur la littérature indienne et les études sanscrites : avec des notes bibliographiques / par A. Philibert-Soupé,... // Cours familier de littérature [I] // Dernières causeries littéraires / par Armand de Pontmartin // Cours familier de littérature [II] // Notice sur Jean de Schelandre, poëte verdunois (1585-1635) (2e édition suivie de poësies réimprimées pour la première fois d'après l'édition unique de 1608) / par Charles Asselineau // Les excentriques (Nouv. éd.) / par Champfleury // Mémoires touchant la vie et les écrits de Marie de Rabutin-Chantal, dame de Bourbilly, marquise de Sévigné,.... 2, Mémoires touchant la vie et les écrits de Marie de Rabutin-Chantal, dame de Bourbilly, marquise de Sévigné : durant le ministère du Cardinal Mazarin et la jeunesse de Louis XIV / suivis de notes et d'éclaircissements, par M. le baron Walckenaer // Examen critique de “la Bourse”, comédie en 5 actes en vers, de M. François Ponsard,... par M. Jules Maret-Leriche // Mémoires touchant la vie et les écrits de Marie de Rabutin-Chantal, dame de Bourbilly, marquise de Sévigné,.... 1, Mémoires touchant la vie et les écrits de Marie de Rabutin-Chantal, dame de Bourbilly, marquise de Sévigné : durant la Régence et la Fronde / suivis de notes et d'éclaircissements, par M. le baron Walckenaer // Mémoires touchant la vie et les écrits de Marie de Rabutin-Chantal, dame de Bourbilly, marquise de Sévigné,.... 5, Mémoires touchant la vie et les écrits de Marie de Rabutin-Chantal, dame de Bourbilly, marquise de Sévigné : durant le seconde conquête de la Franche-Comté par Louis XIV et la première coalition des puissances contre la France / suivis de notes et d'éclaircissements, par M. le baron Walckenaer // Essai sur Tite Live / par H. Taine,... // Jonathan Swift, sa vie et ses œuvres // Mémoires du duc de Saint-Simon // Épître à un critique sur la tragédie : lue à la séance publique annuelle des cinq académies, le 14 août 1856 / par M. Viennet,... ; Institut impérial de France	
Brunot, Ferdinand (1860-1938)	2142708	5	1909	Histoire de la langue française, des origines à 1900 ; 3, 1-2. La formation de la langue classique (1600-1660). Tome 3,Partie 2 / Ferdinand Brunot,... // Portraits de femmes ; Madame Carlyle ; Georges Eliot ; Un couvent de femmes en Italie en XVIe siècle (Nouvelle édition) / Arvède Barine // Histoire de la langue française, des origines à 1900 ; 3, 1-2. La formation de la langue classique (1600-1660). Tome 3,Partie 1 / Ferdinand Brunot,... // Le lyrisme et la préciosité cultistes en Espagne : étude historique et analytique / par Lucien-Paul Thomas,... // De la poésie scientifique // Les Annales du théâtre et de la musique / Édouard Noël et Edmond Stoullig // Vers la Vérité. Sully Prudhomme, Pascal, le nouveau christianisme // L'apologétique de Brunetière / par H. Guyot,... // Le “Contrat social” et les idées politiques de J.-J. Rousseau / par Henri Rodet // Nos femmes de Lettres // Remy de Gourmont et son oeuvre / par Paul Delior	
Sauvebois, Gaston (1880-1935)	3405589	4	1908	Après le naturalisme // Charles Nodier et le groupe romantique : d'après des documents inédits... / Michel Salomon // Les sources et l'évolution des “Essais” de Montaigne : thèse pour le doctorat présentée à la Faculté des lettres de l'Université de Paris. L'évolution des «Essais» / par Pierre Villey,... // Émile Zola : sa vie, son oeuvre / Edmond Lepelletier // Les Annales du théâtre et de la musique / Édouard Noël et Edmond Stoullig // Les sources et l'évolution des “Essais” de Montaigne : thèse pour le doctorat présentée à la Faculté des lettres de l'Université de Paris. Les sources et la chronologie des «Essais» / par Pierre Villey,... // Jean Racine // Etudes d'histoire romantique. , Le Cénacle de la Muse française : 1823-1827 (documents inédits)... / Léon Séché // Voltaire philosophe / Georges Pellissier // Molière... // La philosophie de Taine : essai critique / par Paul Nève,... // Promenades philosophiques (deuxième série) // Poésie et folie : essai de psychologie et de critique / par A. Antheaume,... [et] G. Dromard,... // Trente ans de théâtre : 4e série / Adrien Bernheim // Études littéraires et morales (2e édition) / Gaston Frommel // Études sur le drame antique (2e édition revue et complétée) / par Henri Weil,...	
Chasles, Émile (1827-1908)	9319483	6	1866	Michel de Cervantes : sa vie, son temps, son oeuvre politique et littéraire / par Émile Chasles,... // Béranger et son temps. T. 2 / par Jules Janin ; front. avec portr. à l'eau-forte de Staal // Table alphabétique des auteurs et personnages cités dans les Mémoires secrets pour servir à l'histoire de la république des lettres en France rédigés par Bachaumont, etc. // Soirées littéraires et scientifiques de la Sorbonne. Conférence sur les oeuvres poétiques de M. Pierre Lebrun / par M. Ch. Lenient,... // Mes haines : causeries littéraires et artistiques / Émile Zola // Histoire de la littérature anglaise (2e éd.) // Cours familier de littérature [XXI] // Le théâtre de Marivaux : conférence publique faite à Moulins / par Emmanuel Des Essarts,... // Portraits après décès : avec lettres inédites et fac-similé / Charles Monselet // Balzac et ses oeuvres / par A. de Lamartine // Petite comédie de la critique littéraire ou Molière selon trois écoles philosophiques // La Comédie de La Bruyère. Partie 1 / par Edouard Fournier... // Béranger et son temps. T. 1 / par Jules Janin ; front. avec portr. à l'eau-forte de Staal // Nouveaux Lundis, tome sixième // Cours familier de littérature [XXII] // Génie littéraire de l'empereur Napoléon Ier : séance publique du 7 juin 1866 / discours de M. Jules Cauvet,... ; Académie impériale des sciences, arts et belles-lettres de Caen // Nouveaux essais de critique et d’histoire (2e éd.) // L'Italie en 1865 : souvenir d'une mission à Florence, à l'occasion du 600e anniversaire de Dante / par C. Hippeau // La philosophie de Goethe / par E. Caro // La Comédie de La Bruyère. Partie 2 / par Edouard Fournier... // Nouveaux Lundis, tome cinquième // La “Saga” des Nibelungen dans les Eddas et dans le Nord scandinave. Traduction précédée d'une étude sur la formation des épopées nationales, par É. de Laveleye // Nouveaux samedis : 2e série / par A. de Pontmartin,...	
Chasles, Philarète (1798-1873)	6132582	1	1865	Orient. Voyages d'un critique à travers la vie et les livres, par Philarète Chasles,... 2e édition // Shakespeare et son oeuvre / A. de Lamartine,... // Histoire littéraire de la France : où l'on traite de l'origine et du progrès, de la décadence et du rétablissement des sciences parmi les Gaulois et parmi les François.... Tome 9 / par des religieux bénédictins de la Congrégation de S. Maur // Saint-Simon considéré comme historien de Louis XIV / par A. Chéruel,... // Nouveaux samedis : 1re série / par A. de Pontmartin,... // Petrus Borel le lycanthrope : sa vie, ses écrits, sa correspondance, poésies et documents inédits / par Jules Claretie ; front. à l'eau-forte avec portr. de Ulm // Nouveaux Lundis, tome quatrième // Du Sentiment de l’admiration // Théâtre, histoire, anecdotes, mots : épaves / par Charles-Maurice // Nouveaux Lundis, tome troisième // Les œuvres et les hommes : IV. Les romanciers // Portraits parisiens / Marquis de Villemer (Ch. Yriarte) // La poésie, les principaux poètes et leur influence sur les sociétés dans les différents âges : discours de réception lu à l'Académie delphinale dans la séance du 10 février 1865 / par Ch. Vertray,... // Cours familier de littérature [XIX] // Introduction à l’étude de la médecine expérimentale // Madame de Sablé : Nouvelles études sur les femmes illustres de la société du XVIIe siècle (3e édition...) / par M. Victor Cousin // Cours de littérature dramatique. [Volume 1] / A. W. Schlegel ; traduit de l'allemand par Mme Necker de Saussure... // La crise philosophique : MM. Taine, Renan, Littré, Vacherot // Cours familier de littérature [XX] // Mémoires touchant la vie et les écrits de Marie de Rabutin-Chantal, dame de Bourbilly, marquise de Sévigné,.... 6, Mémoires touchant la vie et les écrits de Marie de Rabutin-Chantal, dame de Bourbilly, marquise de Sévigné : sixième partie de 1676 à 1680 / suivis de notes et d'éclaircissements, par M. Aubenas,... // Histoire littéraire de la France : où l'on traite de l'origine et du progrès, de la décadence et du rétablissement des sciences parmi les Gaulois et parmi les François.... Tome 4 / par des religieux bénédictins de la Congrégation de S. Maur	
Sainte-Beuve, Charles-Augustin (1804-1869)	7988717	3	1864	Nouveaux Lundis, tome deuxième // Physiologie des écrivains et des artistes ou Essai de critique naturelle // Histoire de la littérature espagnole. PERIODE 1 / de G. Ticknor,... ; traduite de l'anglais en français pour la première fois, avec les notes et additions des commentateurs espagnols D. Pascal de Gayangos et D. Henri de Vedia, par J.-G. Magnabal,... // Le roman contemporain // Portraits littéraires, tome III // Cours familier de littérature [XVII] // Etudes sur la Renaissance : Renaissance et réforme : Erasme, Thomas Morus, Mélanchton (2e édition) / par D. Nisard,... // Étude sur Étienne de La Boétie, par M. Prévost-Paradol, publiée à l'occasion d'une fête de charité donnée à Sarlat le 31 juillet 1864 // Fréron, ou L'illustre critique : sa vie, ses écrits, sa correspondance, sa famille, etc. / par Charles Monselet ; frontispice à l'eau-forte avec portraits par Ed. Morin // Histoire de la littérature espagnole / de G. Ticknor,... ; traduite de l'anglais en français pour la première fois, avec les notes et additions des commentateurs espagnols D. Pascal de Gayangos et D. Henri de Vedia, par J.-G. Magnabal,... // De la critique littéraire // Histoire de la littérature espagnole. PERIODE 2 / de G. Ticknor,... ; traduite de l'anglais en français pour la première fois, avec les notes et additions des commentateurs espagnols D. Pascal de Gayangos et D. Henri de Vedia, par J.-G. Magnabal,... // Jubilé de Shakespeare, 23 avril 1564-1864. Toast au banquet de Paris, par M. Émile Deschamps // Les Libres propos, par Castagnary // La Poésie et l'éloquence à Rome au temps des Césars, par M. Jules Janin... // Histoire anecdotique de l’ancien théâtre en France [I] // Corneille, Shakespeare et Goethe. Étude sur l’influence anglo-germanique en France au XIXe siècle // De l'unité de composition grammaticale et syntactique dans les différentes familles de langues / par M. Bergmann,... // Les originaux du siècle dernier : les oubliés et les dédaignés / par Charles Monselet // Cours familier de littérature [XVIII] // Les Quarante médaillons de l'Académie, par J. Barbey d'Aurevilly... // Nouvelles études d'histoire et de littérature / par D. Nisard,...	
Saint-Marc Girardin (1801-1873)	5074875	3	1863	Essais de littérature et de morale. Tome 2 / par Saint-Marc Girardin,... // Histoire des idées littéraires en France au XIXe siècle et de leurs origines dans les siècles antérieurs. 1 / par Alfred Michiels // Mémoires de l'Académie royale des sciences, arts et belles-lettres de Caen // Études critiques sur la littérature contemporaine. Tome 7 / par Edmond Scherer // Les harangues de l'exil. T. 3 / par F. D. Bancel // Critique littéraire sous le Premier Empire. précédée d'une Notice historique sur M. Boissonade. Tome second, Critique étrangère. Critique française. Morceau inédits. Correspondances. Éphémérides / J.-F. Boissonade ; publiée par F. Colincamp....par M. Naudet,... // L'Espagne religieuse et littéraire : pages détachées / par Antoine de Latour // Nouvelles Semaines littéraires, par Armand de Pontmartin // Études critiques sur la littérature contemporaine. T. 8 / par Edmond Scherer // Le réalisme épique dans le roman // Les harangues de l'exil. T. 2 / par F. D. Bancel // Cours familier de littérature [XV] // Études critiques sur la littérature contemporaine. Série 3 / par Edmond Scherer // Nouveaux Lundis, tome premier // Critique littéraire sous le Premier Empire. précédée d'une Notice historique sur M. Boissonade. Tome premier, Critique grecque. Critique latine. Curiosités philologiques. Biographies / J.-F. Boissonade ; publiée par F. Colincamp....par M. Naudet,... // Historiens, poètes et romanciers. Tome 1 / par Cuvillier-Fleury... // Voltaire et Rousseau / par Eugène Noël ; avec une préface par Jules Levallois ; [avertissement de H. Leneuveux] // Historiens, poètes et romanciers. Tome 2 / par Cuvillier-Fleury... // Les Coups d'épée dans l'eau, par Jean Rousseau // Garin le Lorrain : lu à l'Académie de Stanislas, le jour de sa réception / par M. Émile Chasles // Les harangues de l'exil. T. 1 / par F. D. Bancel // Les consolations ; Pensées d'août ; Notes et sonnets ; Un dernier rêve (Nouvelle édition revue et augmentée) / Par C. A. Sainte-Beuve // Origines littéraires de la France : la légende et le roman, le théâtre, la prédication, l'Antiquité et le Moyen-âge, le Moyen-âge et la littérature moderne (Nouvelle édition) / par Louis Moland // Réalistes et fantaisistes : études morales et littéraires (2e éd.) / par Gustave Merlet // Cours familier de littérature [XVI] // Vie, poésies et pensées de Joseph Delorme (Nouvelle édition très augmentée) / Sainte-Beuve	
Filon, Augustin (1841-1916)	5471996	0	1862	Le dernier livre de M. Taine : “La Fontaine et ses fables”. Conférence du rez-de-chaussée / [signé : A. Filon] // Le paradis des gens de lettres // L'histoire romaine à Rome. Tome 1 / par J.-J. Ampère,... // Poétique ou Introduction à l'esthétique. Tome 1 / par Jean Paul Fr. Richter ; traduite de l'allemand, précédée d'un essai sur Jean Paul et sa poétique, suivie de notes et de commentaires, par Alexandre Büchner et Léon Dumont... // Poétique ou Introduction à l'esthétique. Tome 2 / par Jean Paul Fr. Richter ; traduite de l'allemand, précédée d'un essai sur Jean Paul et sa poétique, suivie de notes et de commentaires, par Alexandre Büchner et Léon Dumont... // Les galanteries du XVIIIe siècle / par Charles Monselet // Mémoires de l'Académie des sciences, belles-lettres et arts de Clermont-Ferrand // Cours familier de littérature [XIII] // Cours familier de littérature [XIV] // Cicéron médecin : étude médico-littéraire / par le Dr P. Ménière,... // Journal, lettres et poèmes (2e édition revue et considérablement augmentée) / Maurice de Guérin ; publiés avec l'assentiment de sa famille par G. S. Trébutien ; et précédés d'une étude biographique et littéraire par M. Sainte-Beuve,... // Victor Hugo . (Signé : Alfred Nettement.) // Portraits littéraires, tome II // L'histoire romaine à Rome. Tome 4 / par J.-J. Ampère,... // Histoire du roman et de ses rapports avec l'histoire dans l'antiquité grecque et latine (2e éd.) / par A. Chassang // L'histoire romaine à Rome. Tome 3 / par J.-J. Ampère,... // Tableau de la littérature française au XVIe siècle, suivi d'études sur la littérature du Moyen âge et de la Renaissance, par M. Saint-Marc Girardin,... // L'histoire romaine à Rome. Tome 2 / par J.-J. Ampère,... // La littérature indépendante et les écrivains oubliés : essais de critique et d'érudition sur le XVIIe siècle / par Victor Fournel // Portraits littéraires, tome I	
Margerie, Amédée de (1825-1905)	3200804	2	1861	La Fontaine moraliste : causeries / par Amédée de Margerie,... // La Fontaine et Buffon , par Damas Hinard // Histoire de la littérature française depuis ses origines jusqu'à la révolution. Tome 2 / par Eugène Géruzez,... // Littérature étrangère. Écrivains et poètes modernes, par Saint-René Taillandier // Les Semaines littéraires, 3e série des “Causeries littéraires”, par Armand de Pontmartin // Causeries de quinzaine, par Émile Deschanel // Cours familier de littérature [XII] // Histoire de la littérature française depuis ses origines jusqu'à la révolution. Tome 1 / par Eugène Géruzez,... // La Fontaine et ses fables // Cours familier de littérature [XI] // Discours contre M. Legouvé, à propos de Mme Ristori et du théâtre des jeunes auteurs / Aurélien Scholl // Les œuvres et les hommes : II. Les historiens politiques et littéraires // Corneille, Racine et Molière. Deux cours sur la poésie dramatique française au XVIIe siècle, par Eugène Rambert,...	
Babou, Hippolyte (1823-1878)	4001395	1	1860	Lettres satiriques et critiques / par Hippolyte Babou // Poëtes modernes de la France. Jules Lefèvre-Deumier ; par Emmanuel Des Essarts // Cours familier de littérature [X] // Histoire de la littérature des Hindous / par Louis Enault // Mélanges religieux, historiques, politiques et littéraires : (1842-1856), [1re série]. Edition 2,Tome 2 / par Louis Veuillot,... // Cours familier de littérature [IX] // Mélanges religieux, historiques, politiques et littéraires : (1842-1856), [1re série]. Edition 2,Tome 3 / par Louis Veuillot,... // Tous les genres du théâtre et sujets correspondants : épîtres en vers libres / par Charles Maurice // Les œuvres et les hommes : I. Les philosophes et les écrivains religieux (première série) // Discours et mélanges littéraires (Nouvelle édition revue, corrigée et augmentée) / par M. Villemain,... // XIXe siècle. Les oeuvres et les hommes. T. 16 / par J. Barbey d'Aurevilly // Léonie : essai d'éducation par le roman / Mlle Euphémie Vauthier. précédé d'une lettre de M. de Lamartine // Mélanges religieux, historiques, politiques et littéraires : (1842-1856), [1re série]. Edition 2,Tome 5 / par Louis Veuillot,... // Poésie héroïque des indiens comparée à l'épopée grecque et romaine... par F. G. Eichhoff,... // Les matinées littéraires / par Taxile Delord // XIXe siècle. Les oeuvres et les hommes. T. 7 / par J. Barbey d'Aurevilly // Mélanges religieux, historiques, politiques et littéraires : (1842-1856), [1re série]. Tome 6,Edition 2 / par Louis Veuillot,... // Les gladiateurs de la République des lettres aux XVe, XVIe et XVIIe siècles. Tome 2 / par Charles Nisard // XIXe siècle. Les oeuvres et les hommes. T. 14 / par J. Barbey d'Aurevilly // Les gladiateurs de la République des lettres aux XVe, XVIe et XVIIe siècles. Tome 1 / par Charles Nisard	
Faguet, Émile (1847-1913)	4049933	7	1907	Propos littéraires // Causeries littéraires sur le XIXe siècle (1800-1850) / Émile Souvestre ; ouvrage inédit publié par Mme A. Beau,... ; préface de L. Dugas,... // Goethe et le Tasse / Pierre de Bouchaud // La rythmique musicale des troubadours et des trouvères / Pierre Aubry // Sénancour : (1770-1846) : poète, penseur religieux et publiciste : sa vie, son oeuvre, son influence : documents inconnus ou inédits / Joachim Merlant // Jean-Jacques Rousseau // Histoire de la littérature russe / par Louis Leger,... // Amours d'hommes de lettres : Pascal, Corneille, Voltaire, Mirabeau, Chateaubriand, Lamartine, Guizot, Mérimée, Sainte-Beuve, George Sand et Musset / Émile Faguet // Le Romantisme Français // Montmartre et ses artistes / [signé Gustave Kahn] // La vie et les ouvrages de Jean-Jacques Rousseau / Bernardin de Saint-Pierre ; édition critique publ. [...] par Maurice Souriau // La langue nouvelle : essai de critique conservatrice / par A. Claveau // Les Annales du théâtre et de la musique / Édouard Noël et Edmond Stoullig // Les Sources de Leconte de Lisle, par Joseph Vianey,... // Propos de théâtre	
Bouglé, Célestin (1870-1940)	5246995	7	1906	Les Idées égalitaires : étude sociologique // La poétique française : le présent et l'avenir / Pierre de Bouchaud // Lettres : 1841-1866 / Charles Baudelaire // La Légende de Don Juan, son évolution dans la littérature, des origines au romantisme. Thèse présentée à la Faculté des lettres de l'Université de Paris, par Georges Gendarme de Bévotte,... // Propos de théâtre // La rêverie esthétique : essai sur la psychologie du poète // Poètes et humoristes de l'Allemagne : la France et les français jugés à l'étranger... / J. Bourdeau,... // Paysages et sentiments / Jean Moréas // Les œuvres et les hommes : XXI. À côté de la grande histoire // Molière et le théâtre espagnol // Les œuvres et les hommes : XXII. Femmes et moralistes // Un romantique de la première heure, Evariste Boulay-Paty, son journal intime et sa correspondance, 1829-1831 / par Dominique Caillé. suivi d'une étude sur Carrier à Nantes et de dix lettres de Fouché,... // Études sur Goethe : Goethe et Lessing, Goethe et Schiller, Werther, Iphigénie en Tauride, Hermann et Dorothée, Faust / Paul Stapfer,... // Le marquis de Sade : l'homme et l'écrivain, d'après des documents inédits, avec une bibliographie de ses oeuvres / Henri d'Almeras // La psychologie des individus et des sociétés chez Taine historien des littératures : étude critique / par Paul Lacombe // Etudes de critique dramatique. Feuilletons du “Temps”, 1898-1902. Théâtre antique, théâtre classique, Shakespeare et le théâtre français, théâtre romantique et moderne / G. Larroumet // Oeuvres complètes illustrées de Émile Zola. 31, Théâtre : Thérèse Raquin, Les héritiers Rabourdin, Le bouton de rose ; Suivi de Le naturalisme au théâtre, Nos auteurs dramatiques // Louis-Xavier de Ricard / Fernand Clerget // Pensées choisies / de Désiré Nisard,... // L’Anticléricalisme // Etudes de critique dramatique. Feuilletons du “Temps”, 1898-1902. La comédie et le drame après 1870, une enquête sur le théâtre contemporain, les auteurs et les oeuvres, théâtre étranger, critiques dramatiques / G. Larroumet // Les Annales du théâtre et de la musique / Édouard Noël et Edmond Stoullig	
