Auteur	Total De Tokens	Occurrences du Mot	Fréquence Relative	Date	Titre	
Walckenaer, Charles-Athanase (1771-1852)	3746726	11	2.9358966E-6	1858	Études littéraires et historiques / par M. le baron de Barante,... // Athénée de Paris. Cours de littérature française. De la Poésie légère aux XVIIe, XVIIIe et XIXe siècles. Fragments du discours d'ouverture prononcé, le 16 novembre 1847, par Auguste Bolot,... // Montaigne. Publications relatives à Montaigne, faites par le docteur J.-F. Payen // Du vrai, du beau et du bien (7e éd.) // Rivarol, sa vie et ses oeuvres / par M. Léonce Curnier,... // Les écrivains normands au XVIIe siècle / par C. Hippeau,... // Cours familier de littérature [V] // Cours familier de littérature [VI] // Beaumarchais et son temps : études sur la société en France au XVIIIe siècle d'après des documents inédits. T. 1 / par Louis de Loménie // Beaumarchais et son temps : études sur la société en France au XVIIIe siècle d'après des documents inédits. T. 2 / par Louis de Loménie // Question de l'orientalisme rendu classique : Divers comptes-rendus du spécimen d'orientalisme vulgarisé, intitulé : “Fleurs de l'Inde” / [par E. Masson, A. Mézières et L. Leupol] // Adam Mickiewicz : sa vie et son oeuvre (Deuxième édition) / Ladislas Mickiewicz ; avec un portrait par Théophile Bérengier // Notice biographique sur M. H. de Latouche, poète, littérateur et romancier. [Signé : E. Perraud de Thoury.] // Tableau de la littérature dramatique en Europe : depuis l'origine jusqu'à nos jours / par A. Philibert-Soupé,... // Variétés littéraires, morales et historiques. T. I / par M. S. de Sacy,... // Variétés littéraires, morales et historiques. T. II / par M. S. de Sacy,... // Mémoires et correspondances historiques et littéraires inédits (1726 à 1816) / publ. par Charles Nisard // Balzac : sa vie et ses oeuvres, d'après sa correspondance / Mme L. Surville (née de Balzac) // Choix d'études sur la littérature contemporaine ; [précédé des Rapports annuels sur les concours de l'Académie française, 1846-1856] / par M. Villemain,... // La Tribune moderne. 1re partie. M. de Chateaubriand, sa vie, ses écrits, son influence littéraire et politique sur son temps, par M. Villemain,... // Histoire de la vie et des ouvrages de J. de La Fontaine. Tome 1,Edition 4 / par C.-A. Walckenaer,... // Histoire de la vie et des ouvrages de J. de La Fontaine. Tome 2,Edition 4 / par C.-A. Walckenaer,...	
Pontmartin, Armand de (1811-1890)	2489320	29	1.1649768E-5	1857	La vérité sur le cas de M. Champfleury / Hippolyte Babou // Études historiques et biographiques / par M. le baron de Barante,... // Articles justificatifs pour Charles Baudelaire, auteur des « Fleurs du mal » // Le poète Attius : étude sur la tragédie latine pendant la République : thèse présentée à la Faculté des lettres de Paris / par G. Boissier,... // Chateaubriand / par Hippolyte Castille,.... // Histoire de la conversation / par Émile Deschanel // La Bruyère, quelques notes sur sa vie et ses moeurs / [signé : Édouard Fournier] // Essai sur la question de l'originalité de Gil Blas, ou Nouvelles observations critiques sur ce roman, par Charles-Frédéric Franceson,... // Les troubadours et Pétrarque : thèse présentée à la Faculté des lettres de Paris / par Ch.-Ant. Gidel,... // Cours familier de littérature [III] // Cours familier de littérature [IV] // La lorgnette littéraire : dictionnaire des grands et des petits auteurs de mon temps / par M. Charles Monselet // Causeries du samedi	
Walckenaer, Charles-Athanase (1771-1852)	2436094	40	1.6419728E-5	1856	Notice sur Jean de Schelandre, poëte verdunois (1585-1635) (2e édition suivie de poësies réimprimées pour la première fois d'après l'édition unique de 1608) / par Charles Asselineau // Les excentriques (Nouv. éd.) / par Champfleury // Jean Passerat, poëte et savant ; par Charles Des Guerrois // Cours familier de littérature [I] // Cours familier de littérature [II] // Examen critique de “la Bourse”, comédie en 5 actes en vers, de M. François Ponsard,... par M. Jules Maret-Leriche // Essai critique sur la littérature indienne et les études sanscrites : avec des notes bibliographiques / par A. Philibert-Soupé,... // Dernières causeries littéraires / par Armand de Pontmartin // Jonathan Swift, sa vie et ses œuvres // Mémoires du duc de Saint-Simon // Essai sur Tite Live / par H. Taine,... // Épître à un critique sur la tragédie : lue à la séance publique annuelle des cinq académies, le 14 août 1856 / par M. Viennet,... ; Institut impérial de France // Mémoires touchant la vie et les écrits de Marie de Rabutin-Chantal, dame de Bourbilly, marquise de Sévigné,.... 1, Mémoires touchant la vie et les écrits de Marie de Rabutin-Chantal, dame de Bourbilly, marquise de Sévigné : durant la Régence et la Fronde / suivis de notes et d'éclaircissements, par M. le baron Walckenaer // Mémoires touchant la vie et les écrits de Marie de Rabutin-Chantal, dame de Bourbilly, marquise de Sévigné,.... 2, Mémoires touchant la vie et les écrits de Marie de Rabutin-Chantal, dame de Bourbilly, marquise de Sévigné : durant le ministère du Cardinal Mazarin et la jeunesse de Louis XIV / suivis de notes et d'éclaircissements, par M. le baron Walckenaer // Mémoires touchant la vie et les écrits de Marie de Rabutin-Chantal, dame de Bourbilly, marquise de Sévigné,.... 5, Mémoires touchant la vie et les écrits de Marie de Rabutin-Chantal, dame de Bourbilly, marquise de Sévigné : durant le seconde conquête de la Franche-Comté par Louis XIV et la première coalition des puissances contre la France / suivis de notes et d'éclaircissements, par M. le baron Walckenaer	
Thomas, Lucien-Paul	2142708	5	2.3334958E-6	1909	Portraits de femmes ; Madame Carlyle ; Georges Eliot ; Un couvent de femmes en Italie en XVIe siècle (Nouvelle édition) / Arvède Barine // Histoire de la langue française, des origines à 1900 ; 3, 1-2. La formation de la langue classique (1600-1660). Tome 3,Partie 1 / Ferdinand Brunot,... // Histoire de la langue française, des origines à 1900 ; 3, 1-2. La formation de la langue classique (1600-1660). Tome 3,Partie 2 / Ferdinand Brunot,... // Remy de Gourmont et son oeuvre / par Paul Delior // Nos femmes de Lettres // De la poésie scientifique // L'apologétique de Brunetière / par H. Guyot,... // Les Annales du théâtre et de la musique / Édouard Noël et Edmond Stoullig // Le “Contrat social” et les idées politiques de J.-J. Rousseau / par Henri Rodet // Vers la Vérité. Sully Prudhomme, Pascal, le nouveau christianisme // Le lyrisme et la préciosité cultistes en Espagne : étude historique et analytique / par Lucien-Paul Thomas,...	
Weil, Henri (1818-1909)	3405589	22	6.459969E-6	1908	Poésie et folie : essai de psychologie et de critique / par A. Antheaume,... [et] G. Dromard,... // Trente ans de théâtre : 4e série / Adrien Bernheim // Études littéraires et morales (2e édition) / Gaston Frommel // Promenades philosophiques (deuxième série) // Jean Racine // Émile Zola : sa vie, son oeuvre / Edmond Lepelletier // La philosophie de Taine : essai critique / par Paul Nève,... // Les Annales du théâtre et de la musique / Édouard Noël et Edmond Stoullig // Voltaire philosophe / Georges Pellissier // Molière... // Charles Nodier et le groupe romantique : d'après des documents inédits... / Michel Salomon // Après le naturalisme // Etudes d'histoire romantique. , Le Cénacle de la Muse française : 1823-1827 (documents inédits)... / Léon Séché // Les sources et l'évolution des “Essais” de Montaigne : thèse pour le doctorat présentée à la Faculté des lettres de l'Université de Paris. Les sources et la chronologie des «Essais» / par Pierre Villey,... // Les sources et l'évolution des “Essais” de Montaigne : thèse pour le doctorat présentée à la Faculté des lettres de l'Université de Paris. L'évolution des «Essais» / par Pierre Villey,... // Études sur le drame antique (2e édition revue et complétée) / par Henri Weil,...	
Zola, Émile (1840-1902)	9319483	30	3.2190626E-6	1866	La philosophie de Goethe / par E. Caro // Génie littéraire de l'empereur Napoléon Ier : séance publique du 7 juin 1866 / discours de M. Jules Cauvet,... ; Académie impériale des sciences, arts et belles-lettres de Caen // Michel de Cervantes : sa vie, son temps, son oeuvre politique et littéraire / par Émile Chasles,... // La “Saga” des Nibelungen dans les Eddas et dans le Nord scandinave. Traduction précédée d'une étude sur la formation des épopées nationales, par É. de Laveleye // Le théâtre de Marivaux : conférence publique faite à Moulins / par Emmanuel Des Essarts,... // La Comédie de La Bruyère. Partie 1 / par Edouard Fournier... // La Comédie de La Bruyère. Partie 2 / par Edouard Fournier... // L'Italie en 1865 : souvenir d'une mission à Florence, à l'occasion du 600e anniversaire de Dante / par C. Hippeau // Béranger et son temps. T. 1 / par Jules Janin ; front. avec portr. à l'eau-forte de Staal // Béranger et son temps. T. 2 / par Jules Janin ; front. avec portr. à l'eau-forte de Staal // Balzac et ses oeuvres / par A. de Lamartine // Cours familier de littérature [XXI] // Cours familier de littérature [XXII] // Soirées littéraires et scientifiques de la Sorbonne. Conférence sur les oeuvres poétiques de M. Pierre Lebrun / par M. Ch. Lenient,... // Portraits après décès : avec lettres inédites et fac-similé / Charles Monselet // Nouveaux samedis : 2e série / par A. de Pontmartin,... // Nouveaux Lundis, tome cinquième // Nouveaux Lundis, tome sixième // Petite comédie de la critique littéraire ou Molière selon trois écoles philosophiques // Histoire de la littérature anglaise (2e éd.) // Nouveaux essais de critique et d’histoire (2e éd.) // Table alphabétique des auteurs et personnages cités dans les Mémoires secrets pour servir à l'histoire de la république des lettres en France rédigés par Bachaumont, etc. // Mes haines : causeries littéraires et artistiques / Émile Zola	
Yriarte, Charles (1833-1898)	6132582	14	2.2828883E-6	1865	Mémoires touchant la vie et les écrits de Marie de Rabutin-Chantal, dame de Bourbilly, marquise de Sévigné,.... 6, Mémoires touchant la vie et les écrits de Marie de Rabutin-Chantal, dame de Bourbilly, marquise de Sévigné : sixième partie de 1676 à 1680 / suivis de notes et d'éclaircissements, par M. Aubenas,... // Les œuvres et les hommes : IV. Les romanciers // Introduction à l’étude de la médecine expérimentale // Orient. Voyages d'un critique à travers la vie et les livres, par Philarète Chasles,... 2e édition // Saint-Simon considéré comme historien de Louis XIV / par A. Chéruel,... // Petrus Borel le lycanthrope : sa vie, ses écrits, sa correspondance, poésies et documents inédits / par Jules Claretie ; front. à l'eau-forte avec portr. de Ulm // Histoire littéraire de la France : où l'on traite de l'origine et du progrès, de la décadence et du rétablissement des sciences parmi les Gaulois et parmi les François.... Tome 4 / par des religieux bénédictins de la Congrégation de S. Maur // Histoire littéraire de la France : où l'on traite de l'origine et du progrès, de la décadence et du rétablissement des sciences parmi les Gaulois et parmi les François.... Tome 9 / par des religieux bénédictins de la Congrégation de S. Maur // Madame de Sablé : Nouvelles études sur les femmes illustres de la société du XVIIe siècle (3e édition...) / par M. Victor Cousin // Du Sentiment de l’admiration // Théâtre, histoire, anecdotes, mots : épaves / par Charles-Maurice // La crise philosophique : MM. Taine, Renan, Littré, Vacherot // Cours familier de littérature [XIX] // Cours familier de littérature [XX] // Shakespeare et son oeuvre / A. de Lamartine,... // Nouveaux samedis : 1re série / par A. de Pontmartin,... // Nouveaux Lundis, tome troisième // Nouveaux Lundis, tome quatrième // Cours de littérature dramatique. [Volume 1] / A. W. Schlegel ; traduit de l'allemand par Mme Necker de Saussure... // La poésie, les principaux poètes et leur influence sur les sociétés dans les différents âges : discours de réception lu à l'Académie delphinale dans la séance du 10 février 1865 / par Ch. Vertray,... // Portraits parisiens / Marquis de Villemer (Ch. Yriarte)	
Ticknor, George (1791-1871)	7988717	68	8.5120055E-6	1864	De la critique littéraire // Les Quarante médaillons de l'Académie, par J. Barbey d'Aurevilly... // De l'unité de composition grammaticale et syntactique dans les différentes familles de langues / par M. Bergmann,... // Les Libres propos, par Castagnary // Jubilé de Shakespeare, 23 avril 1564-1864. Toast au banquet de Paris, par M. Émile Deschamps // Physiologie des écrivains et des artistes ou Essai de critique naturelle // Histoire anecdotique de l’ancien théâtre en France [I] // La Poésie et l'éloquence à Rome au temps des Césars, par M. Jules Janin... // Cours familier de littérature [XVII] // Cours familier de littérature [XVIII] // Fréron, ou L'illustre critique : sa vie, ses écrits, sa correspondance, sa famille, etc. / par Charles Monselet ; frontispice à l'eau-forte avec portraits par Ed. Morin // Les originaux du siècle dernier : les oubliés et les dédaignés / par Charles Monselet // Le roman contemporain // Etudes sur la Renaissance : Renaissance et réforme : Erasme, Thomas Morus, Mélanchton (2e édition) / par D. Nisard,... // Nouvelles études d'histoire et de littérature / par D. Nisard,... // Étude sur Étienne de La Boétie, par M. Prévost-Paradol, publiée à l'occasion d'une fête de charité donnée à Sarlat le 31 juillet 1864 // Corneille, Shakespeare et Goethe. Étude sur l’influence anglo-germanique en France au XIXe siècle // Nouveaux Lundis, tome deuxième // Portraits littéraires, tome III // Histoire de la littérature espagnole. PERIODE 1 / de G. Ticknor,... ; traduite de l'anglais en français pour la première fois, avec les notes et additions des commentateurs espagnols D. Pascal de Gayangos et D. Henri de Vedia, par J.-G. Magnabal,... // Histoire de la littérature espagnole. PERIODE 2 / de G. Ticknor,... ; traduite de l'anglais en français pour la première fois, avec les notes et additions des commentateurs espagnols D. Pascal de Gayangos et D. Henri de Vedia, par J.-G. Magnabal,... // Histoire de la littérature espagnole / de G. Ticknor,... ; traduite de l'anglais en français pour la première fois, avec les notes et additions des commentateurs espagnols D. Pascal de Gayangos et D. Henri de Vedia, par J.-G. Magnabal,...	
Scherer, Edmond (1815-1889)	5074875	17	3.349836E-6	1863	Mémoires de l'Académie royale des sciences, arts et belles-lettres de Caen // Les harangues de l'exil. T. 1 / par F. D. Bancel // Les harangues de l'exil. T. 2 / par F. D. Bancel // Les harangues de l'exil. T. 3 / par F. D. Bancel // Critique littéraire sous le Premier Empire. précédée d'une Notice historique sur M. Boissonade. Tome premier, Critique grecque. Critique latine. Curiosités philologiques. Biographies / J.-F. Boissonade ; publiée par F. Colincamp....par M. Naudet,... // Critique littéraire sous le Premier Empire. précédée d'une Notice historique sur M. Boissonade. Tome second, Critique étrangère. Critique française. Morceau inédits. Correspondances. Éphémérides / J.-F. Boissonade ; publiée par F. Colincamp....par M. Naudet,... // Garin le Lorrain : lu à l'Académie de Stanislas, le jour de sa réception / par M. Émile Chasles // Historiens, poètes et romanciers. Tome 1 / par Cuvillier-Fleury... // Historiens, poètes et romanciers. Tome 2 / par Cuvillier-Fleury... // Cours familier de littérature [XV] // Cours familier de littérature [XVI] // L'Espagne religieuse et littéraire : pages détachées / par Antoine de Latour // Réalistes et fantaisistes : études morales et littéraires (2e éd.) / par Gustave Merlet // Histoire des idées littéraires en France au XIXe siècle et de leurs origines dans les siècles antérieurs. 1 / par Alfred Michiels // Origines littéraires de la France : la légende et le roman, le théâtre, la prédication, l'Antiquité et le Moyen-âge, le Moyen-âge et la littérature moderne (Nouvelle édition) / par Louis Moland // Voltaire et Rousseau / par Eugène Noël ; avec une préface par Jules Levallois ; [avertissement de H. Leneuveux] // Nouvelles Semaines littéraires, par Armand de Pontmartin // Les Coups d'épée dans l'eau, par Jean Rousseau // Essais de littérature et de morale. Tome 2 / par Saint-Marc Girardin,... // Le réalisme épique dans le roman // Les consolations ; Pensées d'août ; Notes et sonnets ; Un dernier rêve (Nouvelle édition revue et augmentée) / Par C. A. Sainte-Beuve // Vie, poésies et pensées de Joseph Delorme (Nouvelle édition très augmentée) / Sainte-Beuve // Nouveaux Lundis, tome premier // Études critiques sur la littérature contemporaine. Série 3 / par Edmond Scherer // Études critiques sur la littérature contemporaine. Tome 7 / par Edmond Scherer // Études critiques sur la littérature contemporaine. T. 8 / par Edmond Scherer	
Sainte-Beuve, Charles-Augustin (1804-1869)	5471996	34	6.213455E-6	1862	Mémoires de l'Académie des sciences, belles-lettres et arts de Clermont-Ferrand // L'histoire romaine à Rome. Tome 1 / par J.-J. Ampère,... // L'histoire romaine à Rome. Tome 2 / par J.-J. Ampère,... // L'histoire romaine à Rome. Tome 3 / par J.-J. Ampère,... // L'histoire romaine à Rome. Tome 4 / par J.-J. Ampère,... // Le paradis des gens de lettres // Histoire du roman et de ses rapports avec l'histoire dans l'antiquité grecque et latine (2e éd.) / par A. Chassang // Le dernier livre de M. Taine : “La Fontaine et ses fables”. Conférence du rez-de-chaussée / [signé : A. Filon] // La littérature indépendante et les écrivains oubliés : essais de critique et d'érudition sur le XVIIe siècle / par Victor Fournel // Journal, lettres et poèmes (2e édition revue et considérablement augmentée) / Maurice de Guérin ; publiés avec l'assentiment de sa famille par G. S. Trébutien ; et précédés d'une étude biographique et littéraire par M. Sainte-Beuve,... // Poétique ou Introduction à l'esthétique. Tome 1 / par Jean Paul Fr. Richter ; traduite de l'allemand, précédée d'un essai sur Jean Paul et sa poétique, suivie de notes et de commentaires, par Alexandre Büchner et Léon Dumont... // Poétique ou Introduction à l'esthétique. Tome 2 / par Jean Paul Fr. Richter ; traduite de l'allemand, précédée d'un essai sur Jean Paul et sa poétique, suivie de notes et de commentaires, par Alexandre Büchner et Léon Dumont... // Cours familier de littérature [XIII] // Cours familier de littérature [XIV] // Cicéron médecin : étude médico-littéraire / par le Dr P. Ménière,... // Les galanteries du XVIIIe siècle / par Charles Monselet // Victor Hugo . (Signé : Alfred Nettement.) // Tableau de la littérature française au XVIe siècle, suivi d'études sur la littérature du Moyen âge et de la Renaissance, par M. Saint-Marc Girardin,... // Portraits littéraires, tome I // Portraits littéraires, tome II	
