INFLECTED,POS,LEMMA
enrhunerez,VERB,enrhuner
enrhuneriez,VERB,enrhuner
enrhunerions,VERB,enrhuner
enrhunerons,VERB,enrhuner
enrhuneront,VERB,enrhuner
enrhunes,VERB,enrhuner
enrhunés,VERB,enrhuner
enrhunez,VERB,enrhuner
enrhuniez,VERB,enrhuner
enrhunions,VERB,enrhuner
enrhunons,VERB,enrhuner
épreignaient,VERB,épreindre
épreignais,VERB,épreindre
épreignait,VERB,épreindre
épreignant,VERB,épreindre
épreigne,VERB,épreindre
épreignent,VERB,épreindre
épreignes,VERB,épreindre
épreignez,VERB,épreindre
épreigniez,VERB,épreindre
épreignîmes,VERB,épreindre
épreignions,VERB,épreindre
épreignirent,VERB,épreindre
épreignis,VERB,épreindre
épreignisse,VERB,épreindre
épreignissent,VERB,épreindre
épreignisses,VERB,épreindre
épreignissiez,VERB,épreindre
épreignissions,VERB,épreindre
épreignit,VERB,épreindre
épreignît,VERB,épreindre
épreignîtes,VERB,épreindre
épreignons,VERB,épreindre
épreindra,VERB,épreindre
épreindrai,VERB,épreindre
épreindraient,VERB,épreindre
épreindrais,VERB,épreindre
épreindrait,VERB,épreindre
épreindras,VERB,épreindre
épreindrez,VERB,épreindre
épreindriez,VERB,épreindre
épreindrions,VERB,épreindre
épreindrons,VERB,épreindre
épreindront,VERB,épreindre
épreins,VERB,épreindre
épreint,VERB,épreindre
épreints,VERB,épreindre
équarria,VERB,équarrier
équarriai,VERB,équarrier
équarriaient,VERB,équarrier
équarriais,VERB,équarrier
équarriait,VERB,équarrier
équarriâmes,VERB,équarrier
équarriant,VERB,équarrier
équarrias,VERB,équarrier
équarriasse,VERB,équarrier
équarriassent,VERB,équarrier
équarriasses,VERB,équarrier
équarriassiez,VERB,équarrier
équarriassions,VERB,équarrier
équarriât,VERB,équarrier
équarriâtes,VERB,équarrier
équarrié,VERB,équarrier
équarriée,VERB,équarrier
équarriées,VERB,équarrier
équarrient,VERB,équarrier
équarriera,VERB,équarrier
équarrierai,VERB,équarrier
équarrieraient,VERB,équarrier
équarrierais,VERB,équarrier
équarrierait,VERB,équarrier
équarrieras,VERB,équarrier
équarrièrent,VERB,équarrier
équarrierez,VERB,équarrier
équarrieriez,VERB,équarrier
équarrierions,VERB,équarrier
équarrierons,VERB,équarrier
équarrieront,VERB,équarrier
équarriés,VERB,équarrier
équarriez,VERB,équarrier
équarriiez,VERB,équarrier
équarriions,VERB,équarrier
équarrions,VERB,équarrier
escharifia,VERB,escharifier
escharifiai,VERB,escharifier
escharifiaient,VERB,escharifier
escharifiais,VERB,escharifier
escharifiait,VERB,escharifier
escharifiâmes,VERB,escharifier
escharifiant,VERB,escharifier
escharifias,VERB,escharifier
escharifiasse,VERB,escharifier
escharifiassent,VERB,escharifier
escharifiasses,VERB,escharifier
escharifiassiez,VERB,escharifier
escharifiassions,VERB,escharifier
escharifiât,VERB,escharifier
escharifiâtes,VERB,escharifier
escharifie,VERB,escharifier
escharifié,VERB,escharifier
escharifiée,VERB,escharifier
escharifiées,VERB,escharifier
escharifient,VERB,escharifier
escharifiera,VERB,escharifier
escharifierai,VERB,escharifier
escharifieraient,VERB,escharifier
escharifierais,VERB,escharifier
escharifierait,VERB,escharifier
escharifieras,VERB,escharifier
escharifièrent,VERB,escharifier
escharifierez,VERB,escharifier
escharifieriez,VERB,escharifier
escharifierions,VERB,escharifier
escharifierons,VERB,escharifier
escharifieront,VERB,escharifier
escharifies,VERB,escharifier
escharifiés,VERB,escharifier
escharifiez,VERB,escharifier
escharifiiez,VERB,escharifier
escharifiions,VERB,escharifier
escharifions,VERB,escharifier
esta,VERB,ester
estai,VERB,ester
estaient,VERB,ester
estais,VERB,ester
estait,VERB,ester
estâmes,VERB,ester
estant,VERB,ester
estas,VERB,ester
estasse,VERB,ester
estassent,VERB,ester
estasses,VERB,ester
estassiez,VERB,ester
estassions,VERB,ester
estât,VERB,ester
estâtes,VERB,ester
esté,VERB,ester
estée,VERB,ester
estées,VERB,ester
estent,VERB,ester
estera,VERB,ester
esterai,VERB,ester
esteraient,VERB,ester
esterais,VERB,ester
esterait,VERB,ester
esteras,VERB,ester
estèrent,VERB,ester
esterez,VERB,ester
esteriez,VERB,ester
esterions,VERB,ester
esterons,VERB,ester
esteront,VERB,ester
estés,VERB,ester
estez,VERB,ester
estiez,VERB,ester
estions,VERB,ester
estons,VERB,ester
excracha,VERB,excracher
excrachai,VERB,excracher
excrachaient,VERB,excracher
excrachais,VERB,excracher
excrachait,VERB,excracher
excrachâmes,VERB,excracher
excrachant,VERB,excracher
excrachas,VERB,excracher
excrachasse,VERB,excracher
excrachassent,VERB,excracher
excrachasses,VERB,excracher
excrachassiez,VERB,excracher
excrachassions,VERB,excracher
excrachât,VERB,excracher
excrachâtes,VERB,excracher
excrache,VERB,excracher
excraché,VERB,excracher
excrachée,VERB,excracher
excrachées,VERB,excracher
excrachent,VERB,excracher
excrachera,VERB,excracher
excracherai,VERB,excracher
excracheraient,VERB,excracher
excracherais,VERB,excracher
excracherait,VERB,excracher
excracheras,VERB,excracher
excrachèrent,VERB,excracher
excracherez,VERB,excracher
excracheriez,VERB,excracher
excracherions,VERB,excracher
excracherons,VERB,excracher
excracheront,VERB,excracher
excraches,VERB,excracher
excrachés,VERB,excracher
excrachez,VERB,excracher
excrachiez,VERB,excracher
excrachions,VERB,excracher
excrachons,VERB,excracher
exubéra,VERB,exubérer
exubérai,VERB,exubérer
exubéraient,VERB,exubérer
exubérais,VERB,exubérer
exubérait,VERB,exubérer
exubérâmes,VERB,exubérer
exubéras,VERB,exubérer
exubérasse,VERB,exubérer
exubérassent,VERB,exubérer
exubérasses,VERB,exubérer
exubérassiez,VERB,exubérer
exubérassions,VERB,exubérer
exubérât,VERB,exubérer
exubérâtes,VERB,exubérer
exubére,VERB,exubérer
exubéré,VERB,exubérer
exubérée,VERB,exubérer
exubérées,VERB,exubérer
exubérent,VERB,exubérer
exubérera,VERB,exubérer
exubérerai,VERB,exubérer
exubéreraient,VERB,exubérer
exubérerais,VERB,exubérer
exubérerait,VERB,exubérer
exubéreras,VERB,exubérer
exubérèrent,VERB,exubérer
exubérerez,VERB,exubérer
exubéreriez,VERB,exubérer
exubérerions,VERB,exubérer
exubérerons,VERB,exubérer
exubéreront,VERB,exubérer
exubéres,VERB,exubérer
exubérés,VERB,exubérer
exubérez,VERB,exubérer
exubériez,VERB,exubérer
exubérions,VERB,exubérer
exubérons,VERB,exubérer
falota,VERB,faloter
falotai,VERB,faloter
falotaient,VERB,faloter
falotais,VERB,faloter
falotait,VERB,faloter
falotâmes,VERB,faloter
falotant,VERB,faloter
falotas,VERB,faloter
falotasse,VERB,faloter
falotassent,VERB,faloter
falotasses,VERB,faloter
falotassiez,VERB,faloter
falotassions,VERB,faloter
falotât,VERB,faloter
falotâtes,VERB,faloter
faloté,VERB,faloter
falotée,VERB,faloter
falotées,VERB,faloter
falotent,VERB,faloter
falotera,VERB,faloter
faloterai,VERB,faloter
faloteraient,VERB,faloter
faloterais,VERB,faloter
faloterait,VERB,faloter
faloteras,VERB,faloter
falotèrent,VERB,faloter
faloterez,VERB,faloter
faloteriez,VERB,faloter
faloterions,VERB,faloter
faloterons,VERB,faloter
faloteront,VERB,faloter
falotés,VERB,faloter
falotez,VERB,faloter
falotiez,VERB,faloter
falotions,VERB,faloter
falotons,VERB,faloter
fargua,VERB,farguer
farguai,VERB,farguer
farguaient,VERB,farguer
farguais,VERB,farguer
farguait,VERB,farguer
farguâmes,VERB,farguer
farguant,VERB,farguer
farguas,VERB,farguer
farguasse,VERB,farguer
farguassent,VERB,farguer
farguasses,VERB,farguer
farguassiez,VERB,farguer
farguassions,VERB,farguer
farguât,VERB,farguer
farguâtes,VERB,farguer
fargue,VERB,farguer
fargué,VERB,farguer
farguée,VERB,farguer
farguées,VERB,farguer
farguent,VERB,farguer
farguera,VERB,farguer
farguerai,VERB,farguer
fargueraient,VERB,farguer
farguerais,VERB,farguer
farguerait,VERB,farguer
fargueras,VERB,farguer
farguèrent,VERB,farguer
farguerez,VERB,farguer
fargueriez,VERB,farguer
farguerions,VERB,farguer
farguerons,VERB,farguer
fargueront,VERB,farguer
fargués,VERB,farguer
farguez,VERB,farguer
farguiez,VERB,farguer
farguions,VERB,farguer
farguons,VERB,farguer
faséia,VERB,faséier
faséiai,VERB,faséier
faséiaient,VERB,faséier
faséiais,VERB,faséier
faséiait,VERB,faséier
faséiâmes,VERB,faséier
faséiant,VERB,faséier
faséias,VERB,faséier
faséiasse,VERB,faséier
faséiassent,VERB,faséier
faséiasses,VERB,faséier
faséiassiez,VERB,faséier
faséiassions,VERB,faséier
faséiât,VERB,faséier
faséiâtes,VERB,faséier
faséie,VERB,faséier
faséié,VERB,faséier
faséiée,VERB,faséier
faséiées,VERB,faséier
faséient,VERB,faséier
faséiera,VERB,faséier
faséierai,VERB,faséier
faséieraient,VERB,faséier
faséierais,VERB,faséier
faséierait,VERB,faséier
faséieras,VERB,faséier
faséièrent,VERB,faséier
faséierez,VERB,faséier
faséieriez,VERB,faséier
faséierions,VERB,faséier
faséierons,VERB,faséier
faséieront,VERB,faséier
faséies,VERB,faséier
faséiés,VERB,faséier
faséiez,VERB,faséier
faséiiez,VERB,faséier
faséiions,VERB,faséier
faseilla,VERB,faseiller
faseillai,VERB,faseiller
faseillaient,VERB,faseiller
faseillais,VERB,faseiller
faseillait,VERB,faseiller
faseillâmes,VERB,faseiller
faseillant,VERB,faseiller
faseillas,VERB,faseiller
faseillasse,VERB,faseiller
faseillassent,VERB,faseiller
faseillasses,VERB,faseiller
faseillassiez,VERB,faseiller
faseillassions,VERB,faseiller
faseillât,VERB,faseiller
faseillâtes,VERB,faseiller
faseille,VERB,faseiller
faseillé,VERB,faseiller
faseillée,VERB,faseiller
faseillées,VERB,faseiller
faseillent,VERB,faseiller
faseillera,VERB,faseiller
faseillerai,VERB,faseiller
faseilleraient,VERB,faseiller
faseillerais,VERB,faseiller
faseillerait,VERB,faseiller
faseilleras,VERB,faseiller
faseillèrent,VERB,faseiller
faseillerez,VERB,faseiller
faseilleriez,VERB,faseiller
faseillerions,VERB,faseiller
faseillerons,VERB,faseiller
faseilleront,VERB,faseiller
faseilles,VERB,faseiller
faseillés,VERB,faseiller
faseillez,VERB,faseiller
faseilliez,VERB,faseiller
faseillions,VERB,faseiller
faseillons,VERB,faseiller
faséions,VERB,faséier
flingota,VERB,flingoter
flingotai,VERB,flingoter
flingotaient,VERB,flingoter
flingotais,VERB,flingoter
flingotait,VERB,flingoter
flingotâmes,VERB,flingoter
flingotant,VERB,flingoter
flingotas,VERB,flingoter
flingotasse,VERB,flingoter
flingotassent,VERB,flingoter
flingotasses,VERB,flingoter
flingotassiez,VERB,flingoter
flingotassions,VERB,flingoter
flingotât,VERB,flingoter
flingotâtes,VERB,flingoter
flingote,VERB,flingoter
flingoté,VERB,flingoter
flingotée,VERB,flingoter
flingotées,VERB,flingoter
flingotent,VERB,flingoter
flingotera,VERB,flingoter
flingoterai,VERB,flingoter
flingoteraient,VERB,flingoter
flingoterais,VERB,flingoter
flingoterait,VERB,flingoter
flingoteras,VERB,flingoter
flingotèrent,VERB,flingoter
flingoterez,VERB,flingoter
flingoteriez,VERB,flingoter
flingoterions,VERB,flingoter
flingoterons,VERB,flingoter
flingoteront,VERB,flingoter
flingotes,VERB,flingoter
flingotés,VERB,flingoter
flingotez,VERB,flingoter
flingotiez,VERB,flingoter
flingotions,VERB,flingoter
flingotons,VERB,flingoter
flura,VERB,flurer
flurai,VERB,flurer
fluraient,VERB,flurer
flurais,VERB,flurer
flurait,VERB,flurer
flurâmes,VERB,flurer
flurant,VERB,flurer
fluras,VERB,flurer
flurasse,VERB,flurer
flurassent,VERB,flurer
flurasses,VERB,flurer
flurassiez,VERB,flurer
flurassions,VERB,flurer
flurât,VERB,flurer
flurâtes,VERB,flurer
flure,VERB,flurer
fluré,VERB,flurer
flurée,VERB,flurer
flurées,VERB,flurer
flurent,VERB,flurer
flurera,VERB,flurer
flurerai,VERB,flurer
flureraient,VERB,flurer
flurerais,VERB,flurer
flurerait,VERB,flurer
flureras,VERB,flurer
flurèrent,VERB,flurer
flurerez,VERB,flurer
flureriez,VERB,flurer
flurerions,VERB,flurer
flurerons,VERB,flurer
flureront,VERB,flurer
flures,VERB,flurer
flurés,VERB,flurer
flurez,VERB,flurer
fluriez,VERB,flurer
flurions,VERB,flurer
flurons,VERB,flurer
frisonna,VERB,frisonner
frisonnai,VERB,frisonner
frisonnaient,VERB,frisonner
frisonnais,VERB,frisonner
frisonnait,VERB,frisonner
frisonnâmes,VERB,frisonner
frisonnant,VERB,frisonner
frisonnas,VERB,frisonner
frisonnasse,VERB,frisonner
frisonnassent,VERB,frisonner
frisonnasses,VERB,frisonner
frisonnassiez,VERB,frisonner
frisonnassions,VERB,frisonner
frisonnât,VERB,frisonner
frisonnâtes,VERB,frisonner
frisonné,VERB,frisonner
frisonnée,VERB,frisonner
frisonnées,VERB,frisonner
frisonnent,VERB,frisonner
frisonnera,VERB,frisonner
frisonnerai,VERB,frisonner
frisonneraient,VERB,frisonner
frisonnerais,VERB,frisonner
frisonnerait,VERB,frisonner
frisonneras,VERB,frisonner
frisonnèrent,VERB,frisonner
frisonnerez,VERB,frisonner
frisonneriez,VERB,frisonner
frisonnerions,VERB,frisonner
frisonnerons,VERB,frisonner
frisonneront,VERB,frisonner
frisonnés,VERB,frisonner
frisonnez,VERB,frisonner
frisonniez,VERB,frisonner
frisonnions,VERB,frisonner
frisonnons,VERB,frisonner
gafouilla,VERB,gafouiller
gafouillai,VERB,gafouiller
gafouillaient,VERB,gafouiller
gafouillais,VERB,gafouiller
gafouillait,VERB,gafouiller
gafouillâmes,VERB,gafouiller
gafouillant,VERB,gafouiller
gafouillas,VERB,gafouiller
gafouillasse,VERB,gafouiller
gafouillassent,VERB,gafouiller
gafouillasses,VERB,gafouiller
gafouillassiez,VERB,gafouiller
gafouillassions,VERB,gafouiller
gafouillât,VERB,gafouiller
gafouillâtes,VERB,gafouiller
gafouille,VERB,gafouiller
gafouillé,VERB,gafouiller
gafouillée,VERB,gafouiller
gafouillées,VERB,gafouiller
gafouillent,VERB,gafouiller
gafouillera,VERB,gafouiller
gafouillerai,VERB,gafouiller
gafouilleraient,VERB,gafouiller
gafouillerais,VERB,gafouiller
gafouillerait,VERB,gafouiller
gafouilleras,VERB,gafouiller
gafouillèrent,VERB,gafouiller
gafouillerez,VERB,gafouiller
gafouilleriez,VERB,gafouiller
gafouillerions,VERB,gafouiller
gafouillerons,VERB,gafouiller
gafouilleront,VERB,gafouiller
gafouilles,VERB,gafouiller
gafouillés,VERB,gafouiller
gafouillez,VERB,gafouiller
gafouilliez,VERB,gafouiller
gafouillions,VERB,gafouiller
gafouillons,VERB,gafouiller
glaglata,VERB,glaglater
glaglatai,VERB,glaglater
glaglataient,VERB,glaglater
glaglatais,VERB,glaglater
glaglatait,VERB,glaglater
glaglatâmes,VERB,glaglater
glaglatant,VERB,glaglater
glaglatas,VERB,glaglater
glaglatasse,VERB,glaglater
glaglatassent,VERB,glaglater
glaglatasses,VERB,glaglater
glaglatassiez,VERB,glaglater
glaglatassions,VERB,glaglater
glaglatât,VERB,glaglater
glaglatâtes,VERB,glaglater
glaglate,VERB,glaglater
glaglaté,VERB,glaglater
glaglatée,VERB,glaglater
glaglatées,VERB,glaglater
glaglatent,VERB,glaglater
glaglatera,VERB,glaglater
glaglaterai,VERB,glaglater
glaglateraient,VERB,glaglater
glaglaterais,VERB,glaglater
glaglaterait,VERB,glaglater
glaglateras,VERB,glaglater
glaglatèrent,VERB,glaglater
glaglaterez,VERB,glaglater
glaglateriez,VERB,glaglater
glaglaterions,VERB,glaglater
glaglaterons,VERB,glaglater
glaglateront,VERB,glaglater
glaglates,VERB,glaglater
glaglatés,VERB,glaglater
glaglatez,VERB,glaglater
glaglatiez,VERB,glaglater
glaglations,VERB,glaglater
glaglatons,VERB,glaglater
gorgeonna,VERB,gorgeonner
gorgeonnai,VERB,gorgeonner
gorgeonnaient,VERB,gorgeonner
gorgeonnais,VERB,gorgeonner
gorgeonnait,VERB,gorgeonner
gorgeonnâmes,VERB,gorgeonner
gorgeonnant,VERB,gorgeonner
gorgeonnas,VERB,gorgeonner
gorgeonnasse,VERB,gorgeonner
gorgeonnassent,VERB,gorgeonner
gorgeonnasses,VERB,gorgeonner
gorgeonnassiez,VERB,gorgeonner
gorgeonnassions,VERB,gorgeonner
gorgeonnât,VERB,gorgeonner
gorgeonnâtes,VERB,gorgeonner
gorgeonne,VERB,gorgeonner
gorgeonné,VERB,gorgeonner
gorgeonnée,VERB,gorgeonner
gorgeonnées,VERB,gorgeonner
gorgeonnent,VERB,gorgeonner
gorgeonnera,VERB,gorgeonner
gorgeonnerai,VERB,gorgeonner
gorgeonneraient,VERB,gorgeonner
gorgeonnerais,VERB,gorgeonner
gorgeonnerait,VERB,gorgeonner
gorgeonneras,VERB,gorgeonner
gorgeonnèrent,VERB,gorgeonner
gorgeonnerez,VERB,gorgeonner
gorgeonneriez,VERB,gorgeonner
gorgeonnerions,VERB,gorgeonner
gorgeonnerons,VERB,gorgeonner
gorgeonneront,VERB,gorgeonner
gorgeonnes,VERB,gorgeonner
gorgeonnés,VERB,gorgeonner
gorgeonnez,VERB,gorgeonner
gorgeonniez,VERB,gorgeonner
gorgeonnions,VERB,gorgeonner
gorgeonnons,VERB,gorgeonner
gougnotta,VERB,gougnotter
gougnottai,VERB,gougnotter
gougnottaient,VERB,gougnotter
gougnottais,VERB,gougnotter
gougnottait,VERB,gougnotter
gougnottâmes,VERB,gougnotter
gougnottant,VERB,gougnotter
gougnottas,VERB,gougnotter
gougnottasse,VERB,gougnotter
gougnottassent,VERB,gougnotter
gougnottasses,VERB,gougnotter
gougnottassiez,VERB,gougnotter
gougnottassions,VERB,gougnotter
gougnottât,VERB,gougnotter
gougnottâtes,VERB,gougnotter
gougnotté,VERB,gougnotter
gougnottée,VERB,gougnotter
gougnottées,VERB,gougnotter
gougnottent,VERB,gougnotter
gougnottera,VERB,gougnotter
gougnotterai,VERB,gougnotter
gougnotteraient,VERB,gougnotter
gougnotterais,VERB,gougnotter
gougnotterait,VERB,gougnotter
gougnotteras,VERB,gougnotter
gougnottèrent,VERB,gougnotter
gougnotterez,VERB,gougnotter
gougnotteriez,VERB,gougnotter
gougnotterions,VERB,gougnotter
gougnotterons,VERB,gougnotter
gougnotteront,VERB,gougnotter
gougnottés,VERB,gougnotter
gougnottez,VERB,gougnotter
gougnottiez,VERB,gougnotter
gougnottions,VERB,gougnotter
gougnottons,VERB,gougnotter
gourança,VERB,gourancer
gourançai,VERB,gourancer
gourançaient,VERB,gourancer
gourançais,VERB,gourancer
gourançait,VERB,gourancer
gourançâmes,VERB,gourancer
gourançant,VERB,gourancer
gouranças,VERB,gourancer
gourançasse,VERB,gourancer
gourançassent,VERB,gourancer
gourançasses,VERB,gourancer
gourançassiez,VERB,gourancer
gourançassions,VERB,gourancer
gourançât,VERB,gourancer
gourançâtes,VERB,gourancer
gourancé,VERB,gourancer
gourancée,VERB,gourancer
gourancées,VERB,gourancer
gourancent,VERB,gourancer
gourancera,VERB,gourancer
gourancerai,VERB,gourancer
gouranceraient,VERB,gourancer
gourancerais,VERB,gourancer
gourancerait,VERB,gourancer
gouranceras,VERB,gourancer
gourancèrent,VERB,gourancer
gourancerez,VERB,gourancer
gouranceriez,VERB,gourancer
gourancerions,VERB,gourancer
gourancerons,VERB,gourancer
gouranceront,VERB,gourancer
gourancés,VERB,gourancer
gourancez,VERB,gourancer
gouranciez,VERB,gourancer
gourancions,VERB,gourancer
gourançons,VERB,gourancer
graffa,VERB,graffer
graffai,VERB,graffer
graffaient,VERB,graffer
graffais,VERB,graffer
graffait,VERB,graffer
graffâmes,VERB,graffer
graffant,VERB,graffer
graffas,VERB,graffer
graffasse,VERB,graffer
graffassent,VERB,graffer
graffasses,VERB,graffer
graffassiez,VERB,graffer
graffassions,VERB,graffer
graffât,VERB,graffer
graffâtes,VERB,graffer
graffe,VERB,graffer
graffé,VERB,graffer
graffée,VERB,graffer
graffées,VERB,graffer
graffent,VERB,graffer
graffera,VERB,graffer
grafferai,VERB,graffer
grafferaient,VERB,graffer
grafferais,VERB,graffer
grafferait,VERB,graffer
grafferas,VERB,graffer
graffèrent,VERB,graffer
grafferez,VERB,graffer
grafferiez,VERB,graffer
grafferions,VERB,graffer
grafferons,VERB,graffer
grafferont,VERB,graffer
graffes,VERB,graffer
graffés,VERB,graffer
graffez,VERB,graffer
graffiez,VERB,graffer
graffions,VERB,graffer
graffons,VERB,graffer
iconisa,VERB,iconiser
iconisai,VERB,iconiser
iconisaient,VERB,iconiser
iconisais,VERB,iconiser
iconisait,VERB,iconiser
iconisâmes,VERB,iconiser
iconisant,VERB,iconiser
iconisas,VERB,iconiser
iconisasse,VERB,iconiser
iconisassent,VERB,iconiser
iconisasses,VERB,iconiser
iconisassiez,VERB,iconiser
iconisassions,VERB,iconiser
iconisât,VERB,iconiser
iconisâtes,VERB,iconiser
iconise,VERB,iconiser
iconisé,VERB,iconiser
iconisée,VERB,iconiser
iconisées,VERB,iconiser
iconisent,VERB,iconiser
iconisera,VERB,iconiser
iconiserai,VERB,iconiser
iconiseraient,VERB,iconiser
iconiserais,VERB,iconiser
iconiserait,VERB,iconiser
iconiseras,VERB,iconiser
iconisèrent,VERB,iconiser
iconiserez,VERB,iconiser
iconiseriez,VERB,iconiser
iconiserions,VERB,iconiser
iconiserons,VERB,iconiser
iconiseront,VERB,iconiser
iconises,VERB,iconiser
iconisés,VERB,iconiser
iconisez,VERB,iconiser
iconisiez,VERB,iconiser
iconisions,VERB,iconiser
iconisons,VERB,iconiser
jacqueta,VERB,jacqueter
jacquetai,VERB,jacqueter
jacquetaient,VERB,jacqueter
jacquetais,VERB,jacqueter
jacquetait,VERB,jacqueter
jacquetâmes,VERB,jacqueter
jacquetant,VERB,jacqueter
jacquetas,VERB,jacqueter
jacquetasse,VERB,jacqueter
jacquetassent,VERB,jacqueter
jacquetasses,VERB,jacqueter
jacquetassiez,VERB,jacqueter
jacquetassions,VERB,jacqueter
jacquetât,VERB,jacqueter
jacquetâtes,VERB,jacqueter
jacquete,VERB,jacqueter
jacqueté,VERB,jacqueter
jacquetée,VERB,jacqueter
jacquetées,VERB,jacqueter
jacquetent,VERB,jacqueter
jacquetera,VERB,jacqueter
jacqueterai,VERB,jacqueter
jacqueteraient,VERB,jacqueter
jacqueterais,VERB,jacqueter
jacqueterait,VERB,jacqueter
jacqueteras,VERB,jacqueter
jacquetèrent,VERB,jacqueter
jacqueterez,VERB,jacqueter
jacqueteriez,VERB,jacqueter
jacqueterions,VERB,jacqueter
jacqueterons,VERB,jacqueter
jacqueteront,VERB,jacqueter
jacquetes,VERB,jacqueter
jacquetés,VERB,jacqueter
jacquetez,VERB,jacqueter
jacquetiez,VERB,jacqueter
jacquetions,VERB,jacqueter
jacquetons,VERB,jacqueter
lacanisa,VERB,lacaniser
lacanisai,VERB,lacaniser
lacanisaient,VERB,lacaniser
lacanisais,VERB,lacaniser
lacanisait,VERB,lacaniser
lacanisâmes,VERB,lacaniser
lacanisant,VERB,lacaniser
lacanisas,VERB,lacaniser
lacanisasse,VERB,lacaniser
lacanisassent,VERB,lacaniser
lacanisasses,VERB,lacaniser
lacanisassiez,VERB,lacaniser
lacanisassions,VERB,lacaniser
lacanisât,VERB,lacaniser
lacanisâtes,VERB,lacaniser
lacanise,VERB,lacaniser
lacanisé,VERB,lacaniser
lacanisée,VERB,lacaniser
lacanisées,VERB,lacaniser
lacanisent,VERB,lacaniser
lacanisera,VERB,lacaniser
lacaniserai,VERB,lacaniser
lacaniseraient,VERB,lacaniser
lacaniserais,VERB,lacaniser
lacaniserait,VERB,lacaniser
lacaniseras,VERB,lacaniser
lacanisèrent,VERB,lacaniser
lacaniserez,VERB,lacaniser
lacaniseriez,VERB,lacaniser
lacaniserions,VERB,lacaniser
lacaniserons,VERB,lacaniser
lacaniseront,VERB,lacaniser
lacanises,VERB,lacaniser
lacanisés,VERB,lacaniser
lacanisez,VERB,lacaniser
lacanisiez,VERB,lacaniser
lacanisions,VERB,lacaniser
lacanisons,VERB,lacaniser
lichetrogna,VERB,lichetrogner
lichetrognai,VERB,lichetrogner
lichetrognaient,VERB,lichetrogner
lichetrognais,VERB,lichetrogner
lichetrognait,VERB,lichetrogner
lichetrognâmes,VERB,lichetrogner
lichetrognant,VERB,lichetrogner
lichetrognas,VERB,lichetrogner
lichetrognasse,VERB,lichetrogner
lichetrognassent,VERB,lichetrogner
lichetrognasses,VERB,lichetrogner
lichetrognassiez,VERB,lichetrogner
lichetrognassions,VERB,lichetrogner
lichetrognât,VERB,lichetrogner
lichetrognâtes,VERB,lichetrogner
lichetrogne,VERB,lichetrogner
lichetrogné,VERB,lichetrogner
lichetrognée,VERB,lichetrogner
lichetrognées,VERB,lichetrogner
lichetrognent,VERB,lichetrogner
lichetrognera,VERB,lichetrogner
lichetrognerai,VERB,lichetrogner
lichetrogneraient,VERB,lichetrogner
lichetrognerais,VERB,lichetrogner
lichetrognerait,VERB,lichetrogner
lichetrogneras,VERB,lichetrogner
lichetrognèrent,VERB,lichetrogner
lichetrognerez,VERB,lichetrogner
lichetrogneriez,VERB,lichetrogner
lichetrognerions,VERB,lichetrogner
lichetrognerons,VERB,lichetrogner
lichetrogneront,VERB,lichetrogner
lichetrognes,VERB,lichetrogner
lichetrognés,VERB,lichetrogner
lichetrognez,VERB,lichetrogner
lichetrogniez,VERB,lichetrogner
lichetrognions,VERB,lichetrogner
lichetrognons,VERB,lichetrogner
lichota,VERB,lichoter
lichotai,VERB,lichoter
lichotaient,VERB,lichoter
lichotais,VERB,lichoter
lichotait,VERB,lichoter
lichotâmes,VERB,lichoter
lichotant,VERB,lichoter
lichotas,VERB,lichoter
lichotasse,VERB,lichoter
lichotassent,VERB,lichoter
lichotasses,VERB,lichoter
lichotassiez,VERB,lichoter
lichotassions,VERB,lichoter
lichotât,VERB,lichoter
lichotâtes,VERB,lichoter
lichote,VERB,lichoter
lichoté,VERB,lichoter
lichotée,VERB,lichoter
lichotées,VERB,lichoter
lichotent,VERB,lichoter
lichotera,VERB,lichoter
lichoterai,VERB,lichoter
lichoteraient,VERB,lichoter
lichoterais,VERB,lichoter
lichoterait,VERB,lichoter
lichoteras,VERB,lichoter
lichotèrent,VERB,lichoter
lichoterez,VERB,lichoter
lichoteriez,VERB,lichoter
lichoterions,VERB,lichoter
lichoterons,VERB,lichoter
lichoteront,VERB,lichoter
lichotes,VERB,lichoter
lichotés,VERB,lichoter
lichotez,VERB,lichoter
lichotiez,VERB,lichoter
lichotions,VERB,lichoter
lichotons,VERB,lichoter
lichotta,VERB,lichotter
lichottai,VERB,lichotter
lichottaient,VERB,lichotter
lichottais,VERB,lichotter
lichottait,VERB,lichotter
lichottâmes,VERB,lichotter
lichottant,VERB,lichotter
lichottas,VERB,lichotter
lichottasse,VERB,lichotter
lichottassent,VERB,lichotter
lichottasses,VERB,lichotter
lichottassiez,VERB,lichotter
lichottassions,VERB,lichotter
lichottât,VERB,lichotter
lichottâtes,VERB,lichotter
lichotte,VERB,lichotter
lichotté,VERB,lichotter
lichottée,VERB,lichotter
lichottées,VERB,lichotter
lichottent,VERB,lichotter
lichottera,VERB,lichotter
lichotterai,VERB,lichotter
lichotteraient,VERB,lichotter
lichotterais,VERB,lichotter
lichotterait,VERB,lichotter
lichotteras,VERB,lichotter
lichottèrent,VERB,lichotter
lichotterez,VERB,lichotter
lichotteriez,VERB,lichotter
lichotterions,VERB,lichotter
lichotterons,VERB,lichotter
lichotteront,VERB,lichotter
lichottes,VERB,lichotter
lichottés,VERB,lichotter
