ENTITY,CHARACTER
&RightDownTeeVector; ⥝
&10589; ⥝
&x295d; ⥝
&RightDownVector; ⇂
&8642; ⇂
&x21c2; ⇂
&RightDownVectorBar; ⥕
&10581; ⥕
&x2955; ⥕
&RightFloor; ⌋
&8971; ⌋
&x230b; ⌋
&RightTee; ⊢
&8866; ⊢
&x22a2; ⊢
&RightTeeArrow; ↦
&8614; ↦
&x21a6; ↦
&RightTeeVector; ⥛
&10587; ⥛
&x295b; ⥛
&RightTriangle; ⊳
&8883; ⊳
&x22b3; ⊳
&RightTriangleBar; ⧐
&10704; ⧐
&x29d0; ⧐
&RightTriangleEqual; ⊵
&8885; ⊵
&x22b5; ⊵
&RightUpDownVector; ⥏
&10575; ⥏
&x294f; ⥏
&RightUpTeeVector; ⥜
&10588; ⥜
&x295c; ⥜
&RightUpVector; ↾
&8638; ↾
&x21be; ↾
&RightUpVectorBar; ⥔
&10580; ⥔
&x2954; ⥔
&RightVector; ⇀
&8640; ⇀
&x21c0; ⇀
&RightVectorBar; ⥓
&10579; ⥓
&x2953; ⥓
&Rightarrow; ⇒
&8658; ⇒
&x21d2; ⇒
&Ropf; ℝ
&8477; ℝ
&x211d; ℝ
&RoundImplies; ⥰
&10608; ⥰
&x2970; ⥰
&Rrightarrow; ⇛
&8667; ⇛
&x21db; ⇛
&Rscr; ℛ
&8475; ℛ
&x211b; ℛ
&Rsh; ↱
&8625; ↱
&x21b1; ↱
&RuleDelayed; ⧴
&10740; ⧴
&x29f4; ⧴
&SHCHcy; Щ
&1065; Щ
&x0429; Щ
&SHcy; Ш
&1064; Ш
&x0428; Ш
&SOFTcy; Ь
&1068; Ь
&x042c; Ь
&Sacute; Ś
&346; Ś
&x015a; Ś
&Sc; ⪼
&10940; ⪼
&x2abc; ⪼
&Scaron; Š
&352; Š
&x0160; Š
&Scedil; Ş
&350; Ş
&x015e; Ş
&Scirc; Ŝ
&348; Ŝ
&x015c; Ŝ
&Scy; С
&1057; С
&x0421; С
&Sfr; 𝔖
&120086; 𝔖
&x1d516; 𝔖
&ShortDownArrow; ↓
&8595; ↓
&x2193; ↓
&ShortLeftArrow; ←
&8592; ←
&x2190; ←
&ShortRightArrow; →
&8594; →
&x2192; →
&ShortUpArrow; ↑
&8593; ↑
&x2191; ↑
&Sigma; Σ
&931; Σ
&x03a3; Σ
&SmallCircle; ∘
&8728; ∘
&x2218; ∘
&Sopf; 𝕊
&120138; 𝕊
&x1d54a; 𝕊
&Sqrt; √
&8730; √
&x221a; √
&Square; □
&9633; □
&x25a1; □
&SquareIntersection; ⊓
&8851; ⊓
&x2293; ⊓
&SquareSubset; ⊏
&8847; ⊏
&x228f; ⊏
&SquareSubsetEqual; ⊑
&8849; ⊑
&x2291; ⊑
&SquareSuperset; ⊐
&8848; ⊐
&x2290; ⊐
&SquareSupersetEqual; ⊒
&8850; ⊒
&x2292; ⊒
&SquareUnion; ⊔
&8852; ⊔
&x2294; ⊔
&Sscr; 𝒮
&119982; 𝒮
&x1d4ae; 𝒮
&Star; ⋆
&8902; ⋆
&x22c6; ⋆
&Sub; ⋐
&8912; ⋐
&x22d0; ⋐
&Subset; ⋐
&8912; ⋐
&x22d0; ⋐
&SubsetEqual; ⊆
&8838; ⊆
&x2286; ⊆
&Succeeds; ≻
&8827; ≻
&x227b; ≻
&SucceedsEqual; ⪰
&10928; ⪰
&x2ab0; ⪰
&SucceedsSlantEqual; ≽
&8829; ≽
&x227d; ≽
&SucceedsTilde; ≿
&8831; ≿
&x227f; ≿
&SuchThat; ∋
&8715; ∋
&x220b; ∋
&Sum; ∑
&8721; ∑
&x2211; ∑
&Sup; ⋑
&8913; ⋑
&x22d1; ⋑
&Superset; ⊃
&8835; ⊃
&x2283; ⊃
&SupersetEqual; ⊇
&8839; ⊇
&x2287; ⊇
&Supset; ⋑
&8913; ⋑
&x22d1; ⋑
&THORN; Þ
&222; Þ
&xde; Þ
&x00de; Þ
&TRADE; ™
&8482; ™
&x2122; ™
&TSHcy; Ћ
&1035; Ћ
&x040b; Ћ
&TScy; Ц
&1062; Ц
&x0426; Ц
&Tab; \t
&9; \t
&x9; \t
&x09; \t
&x0009; \t
&Tau; Τ
&932; Τ
&x03a4; Τ
&Tcaron; Ť
&356; Ť
&x0164; Ť
&Tcedil; Ţ
&354; Ţ
&x0162; Ţ
&Tcy; Т
&1058; Т
&x0422; Т
&Tfr; 𝔗
&120087; 𝔗
&x1d517; 𝔗
&Therefore; ∴
&8756; ∴
&x2234; ∴
&Theta; Θ
&920; Θ
&x0398; Θ
&ThickSpace;   
&8287;   
&x205f;   
&8202;   
&x200a;   
&ThinSpace;  
&8201;  
&x2009;  
&Tilde; ∼
&8764; ∼
&x223c; ∼
&TildeEqual; ≃
&8771; ≃
&x2243; ≃
&TildeFullEqual; ≅
&8773; ≅
&x2245; ≅
&TildeTilde; ≈
&8776; ≈
&x2248; ≈
&Topf; 𝕋
&120139; 𝕋
&x1d54b; 𝕋
&TripleDot; ⃛
&8411; ⃛
&x20db; ⃛
&Tscr; 𝒯
&119983; 𝒯
&x1d4af; 𝒯
&Tstrok; Ŧ
&358; Ŧ
&x0166; Ŧ
&Uacute; Ú
&218; Ú
&xda; Ú
&x00da; Ú
&Uarr; ↟
&8607; ↟
&x219f; ↟
&Uarrocir; ⥉
&10569; ⥉
&x2949; ⥉
&Ubrcy; Ў
&1038; Ў
&x040e; Ў
&Ubreve; Ŭ
&364; Ŭ
&x016c; Ŭ
&Ucirc; Û
&219; Û
&xdb; Û
&x00db; Û
&Ucy; У
&1059; У
&x0423; У
&Udblac; Ű
&368; Ű
&x0170; Ű
&Ufr; 𝔘
&120088; 𝔘
&x1d518; 𝔘
&Ugrave; Ù
&217; Ù
&xd9; Ù
&x00d9; Ù
&Umacr; Ū
&362; Ū
&x016a; Ū
&UnderBar; _
&95; _
&x5f; _
&x005f; _
&UnderBrace; ⏟
&9183; ⏟
&x23df; ⏟
&UnderBracket; ⎵
&9141; ⎵
&x23b5; ⎵
&UnderParenthesis; ⏝
&9181; ⏝
&x23dd; ⏝
&Union; ⋃
&8899; ⋃
&x22c3; ⋃
&UnionPlus; ⊎
&8846; ⊎
&x228e; ⊎
&Uogon; Ų
&370; Ų
&x0172; Ų
&Uopf; 𝕌
&120140; 𝕌
&x1d54c; 𝕌
&UpArrow; ↑
&8593; ↑
&x2191; ↑
&UpArrowBar; ⤒
&10514; ⤒
&x2912; ⤒
&UpArrowDownArrow; ⇅
&8645; ⇅
&x21c5; ⇅
&UpDownArrow; ↕
&8597; ↕
&x2195; ↕
&UpEquilibrium; ⥮
&10606; ⥮
&x296e; ⥮
&UpTee; ⊥
&8869; ⊥
&x22a5; ⊥
&UpTeeArrow; ↥
&8613; ↥
&x21a5; ↥
&Uparrow; ⇑
&8657; ⇑
&x21d1; ⇑
&Updownarrow; ⇕
&8661; ⇕
&x21d5; ⇕
&UpperLeftArrow; ↖
&8598; ↖
&x2196; ↖
&UpperRightArrow; ↗
&8599; ↗
&x2197; ↗
&Upsi; ϒ
&978; ϒ
&x03d2; ϒ
&Upsilon; Υ
&933; Υ
&x03a5; Υ
&Uring; Ů
&366; Ů
&x016e; Ů
&Uscr; 𝒰
&119984; 𝒰
&x1d4b0; 𝒰
&Utilde; Ũ
&360; Ũ
&x0168; Ũ
&Uuml; Ü
&220; Ü
&xdc; Ü
&x00dc; Ü
&VDash; ⊫
&8875; ⊫
&x22ab; ⊫
&Vbar; ⫫
&10987; ⫫
&x2aeb; ⫫
&Vcy; В
&1042; В
&x0412; В
&Vdash; ⊩
&8873; ⊩
&x22a9; ⊩
&Vdashl; ⫦
&10982; ⫦
&x2ae6; ⫦
&Vee; ⋁
&8897; ⋁
&x22c1; ⋁
&Verbar; ‖
&8214; ‖
&x2016; ‖
&Vert; ‖
&8214; ‖
&x2016; ‖
&VerticalBar; ∣
&8739; ∣
&x2223; ∣
&VerticalLine; |
&124; |
&x7c; |
&x007c; |
&VerticalSeparator; ❘
&10072; ❘
&x2758; ❘
&VerticalTilde; ≀
&8768; ≀
&x2240; ≀
&VeryThinSpace;  
&8202;  
&x200a;  
&Vfr; 𝔙
&120089; 𝔙
&x1d519; 𝔙
&Vopf; 𝕍
&120141; 𝕍
&x1d54d; 𝕍
&Vscr; 𝒱
&119985; 𝒱
&x1d4b1; 𝒱
&Vvdash; ⊪
&8874; ⊪
&x22aa; ⊪
&Wcirc; Ŵ
&372; Ŵ
&x0174; Ŵ
&Wedge; ⋀
&8896; ⋀
&x22c0; ⋀
&Wfr; 𝔚
&120090; 𝔚
&x1d51a; 𝔚
&Wopf; 𝕎
&120142; 𝕎
&x1d54e; 𝕎
&Wscr; 𝒲
&119986; 𝒲
&x1d4b2; 𝒲
&Xfr; 𝔛
&120091; 𝔛
&x1d51b; 𝔛
&Xi; Ξ
&926; Ξ
&x039e; Ξ
&Xopf; 𝕏
&120143; 𝕏
&x1d54f; 𝕏
&Xscr; 𝒳
&119987; 𝒳
&x1d4b3; 𝒳
&YAcy; Я
&1071; Я
&x042f; Я
&YIcy; Ї
&1031; Ї
&x0407; Ї
&YUcy; Ю
&1070; Ю
&x042e; Ю
&Yacute; Ý
&221; Ý
&xdd; Ý
&x00dd; Ý
&Ycirc; Ŷ
&374; Ŷ
&x0176; Ŷ
&Ycy; Ы
&1067; Ы
&x042b; Ы
&Yfr; 𝔜
&120092; 𝔜
&x1d51c; 𝔜
&Yopf; 𝕐
&120144; 𝕐
&x1d550; 𝕐
&Yscr; 𝒴
&119988; 𝒴
&x1d4b4; 𝒴
&Yuml; Ÿ
&376; Ÿ
&x0178; Ÿ
&ZHcy; Ж
&1046; Ж
&x0416; Ж
&Zacute; Ź
&377; Ź
&x0179; Ź
&Zcaron; Ž
&381; Ž
&x017d; Ž
&Zcy; З
&1047; З
&x0417; З
&Zdot; Ż
&379; Ż
&x017b; Ż
&ZeroWidthSpace; ​
&8203; ​
&x200b; ​
&Zeta; Ζ
&918; Ζ
&x0396; Ζ
&Zfr; ℨ
&8488; ℨ
&x2128; ℨ
&Zopf; ℤ
&8484; ℤ
&x2124; ℤ
&Zscr; 𝒵
&119989; 𝒵
&x1d4b5; 𝒵
&aacute; á
&225; á
&xe1; á
&x00e1; á
&abreve; ă
&259; ă
&x0103; ă
&ac; ∾
&8766; ∾
&x223e; ∾
&acE; ∾̳
&8766; ∾̳
&x223e; ∾̳
&819; ∾̳
&x0333; ∾̳
&acd; ∿
&8767; ∿
&x223f; ∿
&acirc; â
&226; â
&xe2; â
&x00e2; â
&acute; ´
&180; ´
&xb4; ´
&x00b4; ´
&acy; а
&1072; а
&x0430; а
&aelig; æ
&230; æ
&xe6; æ
&x00e6; æ
&af; ⁡
&8289; ⁡
&x2061; ⁡
&afr; 𝔞
&120094; 𝔞
&x1d51e; 𝔞
&agrave; à
&224; à
&xe0; à
&x00e0; à
&alefsym; ℵ
&8501; ℵ
&x2135; ℵ
&aleph; ℵ
&8501; ℵ
&x2135; ℵ
&alpha; α
&945; α
&x03b1; α
&amacr; ā
&257; ā
&x0101; ā
&amalg; ⨿
&10815; ⨿
&x2a3f; ⨿
&amp; &
&38; &
&x26; &
&x0026; &
&and; ∧
&8743; ∧
&x2227; ∧
&andand; ⩕
&10837; ⩕
&x2a55; ⩕
&andd; ⩜
&10844; ⩜
&x2a5c; ⩜
&andslope; ⩘
&10840; ⩘
&x2a58; ⩘
&andv; ⩚
&10842; ⩚
&x2a5a; ⩚
&ang; ∠
&8736; ∠
&x2220; ∠
&ange; ⦤
&10660; ⦤
&x29a4; ⦤
&angle; ∠
&8736; ∠
&x2220; ∠
&angmsd; ∡
&8737; ∡
&x2221; ∡
&angmsdaa; ⦨
&10664; ⦨
&x29a8; ⦨
&angmsdab; ⦩
&10665; ⦩
&x29a9; ⦩
&angmsdac; ⦪
&10666; ⦪
&x29aa; ⦪
&angmsdad; ⦫
&10667; ⦫
&x29ab; ⦫
&angmsdae; ⦬
&10668; ⦬
&x29ac; ⦬
&angmsdaf; ⦭
&10669; ⦭
&x29ad; ⦭
&angmsdag; ⦮
&10670; ⦮
&x29ae; ⦮
&angmsdah; ⦯
&10671; ⦯
&x29af; ⦯
&angrt; ∟
&8735; ∟
&x221f; ∟
&angrtvb; ⊾
&8894; ⊾
&x22be; ⊾
&angrtvbd; ⦝
&10653; ⦝
&x299d; ⦝
&angsph; ∢
&8738; ∢
&x2222; ∢
&angst; Å
&197; Å
&xc5; Å
&x00c5; Å
&angzarr; ⍼
&9084; ⍼
&x237c; ⍼
&aogon; ą
&261; ą
&x0105; ą
&aopf; 𝕒
&120146; 𝕒
&x1d552; 𝕒
&ap; ≈
&8776; ≈
&x2248; ≈
&apE; ⩰
&10864; ⩰
&x2a70; ⩰
&apacir; ⩯
&10863; ⩯
&x2a6f; ⩯
&ape; ≊
&8778; ≊
&x224a; ≊
&apid; ≋
&8779; ≋
&x224b; ≋
&apos; '
&39; '
&x27; '
&x0027; '
&approx; ≈
&8776; ≈
&x2248; ≈
&approxeq; ≊
&8778; ≊
&x224a; ≊
&aring; å
&229; å
&xe5; å
&x00e5; å
&ascr; 𝒶
&119990; 𝒶
&x1d4b6; 𝒶
&ast; *
&42; *
&x2a; *
&x002a; *
&asymp; ≈
&8776; ≈
&x2248; ≈
&asympeq; ≍
&8781; ≍
&x224d; ≍
&atilde; ã
&227; ã
&xe3; ã
&x00e3; ã
&auml; ä
&228; ä
&xe4; ä
&x00e4; ä
&awconint; ∳
&8755; ∳
&x2233; ∳
&awint; ⨑
&10769; ⨑
&x2a11; ⨑
&bNot; ⫭
&10989; ⫭
&x2aed; ⫭
&backcong; ≌
&8780; ≌
&x224c; ≌
&backepsilon; ϶
&1014; ϶
&x03f6; ϶
&backprime; ‵
&8245; ‵
&x2035; ‵
&backsim; ∽
&8765; ∽
&x223d; ∽
&backsimeq; ⋍
&8909; ⋍
&x22cd; ⋍
&barvee; ⊽
&8893; ⊽
&x22bd; ⊽
&barwed; ⌅
&8965; ⌅
&x2305; ⌅
&barwedge; ⌅
&8965; ⌅
&x2305; ⌅
&bbrk; ⎵
&9141; ⎵
&x23b5; ⎵
&bbrktbrk; ⎶
&9142; ⎶
&x23b6; ⎶
&bcong; ≌
&8780; ≌
&x224c; ≌
&bcy; б
&1073; б
&x0431; б
&bdquo; „
&8222; „
&x201e; „
&becaus; ∵
&8757; ∵
&x2235; ∵
&because; ∵
&8757; ∵
&x2235; ∵
&bemptyv; ⦰
&10672; ⦰
&x29b0; ⦰
&bepsi; ϶
&1014; ϶
&x03f6; ϶
&bernou; ℬ
&8492; ℬ
&x212c; ℬ
&beta; β
&946; β
&x03b2; β
&beth; ℶ
&8502; ℶ
&x2136; ℶ
&between; ≬
&8812; ≬
&x226c; ≬
&bfr; 𝔟
&120095; 𝔟
&x1d51f; 𝔟
&bigcap; ⋂
&8898; ⋂
&x22c2; ⋂
&bigcirc; ◯
&9711; ◯
&x25ef; ◯
&bigcup; ⋃
&8899; ⋃
&x22c3; ⋃
&bigodot; ⨀
&10752; ⨀
&x2a00; ⨀
&bigoplus; ⨁
&10753; ⨁
&x2a01; ⨁
&bigotimes; ⨂
&10754; ⨂
&x2a02; ⨂
&bigsqcup; ⨆
&10758; ⨆
&x2a06; ⨆
&bigstar; ★
&9733; ★
&x2605; ★
&bigtriangledown; ▽
&9661; ▽
&x25bd; ▽
&bigtriangleup; △
&9651; △
&x25b3; △
&biguplus; ⨄
&10756; ⨄
&x2a04; ⨄
&bigvee; ⋁
&8897; ⋁
&x22c1; ⋁
&bigwedge; ⋀
&8896; ⋀
&x22c0; ⋀
&bkarow; ⤍
&10509; ⤍
&x290d; ⤍
&blacklozenge; ⧫
&10731; ⧫
&x29eb; ⧫
&blacksquare; ▪
&9642; ▪
&x25aa; ▪
&blacktriangle; ▴
&9652; ▴
&x25b4; ▴
&blacktriangledown; ▾
&9662; ▾
&x25be; ▾
&blacktriangleleft; ◂
&9666; ◂
&x25c2; ◂
&blacktriangleright; ▸
&9656; ▸
&x25b8; ▸
&blank; ␣
&9251; ␣
&x2423; ␣
&blk12; ▒
&9618; ▒
&x2592; ▒
&blk14; ░
&9617; ░
&x2591; ░
&blk34; ▓
&9619; ▓
&x2593; ▓
&block; █
&9608; █
&x2588; █
&bne; =⃥
&61; =⃥
&x3d; =⃥
&x003d; =⃥
&8421; =⃥
&x20e5; =⃥
&bnequiv; ≡⃥
&8801; ≡⃥
&x2261; ≡⃥
&8421; ≡⃥
&x20e5; ≡⃥
&bnot; ⌐
&8976; ⌐
&x2310; ⌐
&bopf; 𝕓
&120147; 𝕓
&x1d553; 𝕓
&bot; ⊥
&8869; ⊥
&x22a5; ⊥
&bottom; ⊥
&8869; ⊥
&x22a5; ⊥
&bowtie; ⋈
&8904; ⋈
&x22c8; ⋈
&boxDL; ╗
&9559; ╗
&x2557; ╗
&boxDR; ╔
&9556; ╔
&x2554; ╔
&boxDl; ╖
&9558; ╖
&x2556; ╖
&boxDr; ╓
&9555; ╓
&x2553; ╓
&boxH; ═
&9552; ═
&x2550; ═
&boxHD; ╦
&9574; ╦
&x2566; ╦
&boxHU; ╩
&9577; ╩
&x2569; ╩
&boxHd; ╤
&9572; ╤
&x2564; ╤
&boxHu; ╧
&9575; ╧
&x2567; ╧
&boxUL; ╝
&9565; ╝
&x255d; ╝
&boxUR; ╚
&9562; ╚
&x255a; ╚
&boxUl; ╜
&9564; ╜
&x255c; ╜
&boxUr; ╙
&9561; ╙
&x2559; ╙
&boxV; ║
&9553; ║
&x2551; ║
&boxVH; ╬
&9580; ╬
&x256c; ╬
&boxVL; ╣
&9571; ╣
&x2563; ╣
&boxVR; ╠
&9568; ╠
&x2560; ╠
&boxVh; ╫
&9579; ╫
&x256b; ╫
&boxVl; ╢
&9570; ╢
&x2562; ╢
&boxVr; ╟
&9567; ╟
&x255f; ╟
&boxbox; ⧉
&10697; ⧉
&x29c9; ⧉
&boxdL; ╕
&9557; ╕
&x2555; ╕
&boxdR; ╒
&9554; ╒
&x2552; ╒
&boxdl; ┐
&9488; ┐
&x2510; ┐
&boxdr; ┌
&9484; ┌
&x250c; ┌
&boxh; ─
&9472; ─
&x2500; ─
&boxhD; ╥
&9573; ╥
&x2565; ╥
&boxhU; ╨
&9576; ╨
&x2568; ╨
&boxhd; ┬
&9516; ┬
&x252c; ┬
&boxhu; ┴
&9524; ┴
&x2534; ┴
&boxminus; ⊟
&8863; ⊟
&x229f; ⊟
&boxplus; ⊞
&8862; ⊞
&x229e; ⊞
&boxtimes; ⊠
&8864; ⊠
&x22a0; ⊠
&boxuL; ╛
&9563; ╛
&x255b; ╛
&boxuR; ╘
&9560; ╘
&x2558; ╘
&boxul; ┘
&9496; ┘
&x2518; ┘
&boxur; └
&9492; └
&x2514; └
&boxv; │
&9474; │
&x2502; │
&boxvH; ╪
&9578; ╪
&x256a; ╪
&boxvL; ╡
&9569; ╡
&x2561; ╡
&boxvR; ╞
&9566; ╞
&x255e; ╞
&boxvh; ┼
&9532; ┼
&x253c; ┼
&boxvl; ┤
&9508; ┤
&x2524; ┤
&boxvr; ├
&9500; ├
&x251c; ├
&bprime; ‵
&8245; ‵
&x2035; ‵
&breve; ˘
&728; ˘
&x02d8; ˘
&brvbar; ¦
&166; ¦
&xa6; ¦
&x00a6; ¦
&bscr; 𝒷
&119991; 𝒷
&x1d4b7; 𝒷
&bsemi; ⁏
&8271; ⁏
&x204f; ⁏
&bsim; ∽
&8765; ∽
&x223d; ∽
&bsime; ⋍
&8909; ⋍
&x22cd; ⋍
&bsol; \
&92; \
&x5c; \
&x005c; \
&bsolb; ⧅
&10693; ⧅
&x29c5; ⧅
&bsolhsub; ⟈
&10184; ⟈
&x27c8; ⟈
&bull; •
&8226; •
&x2022; •
&bullet; •
&8226; •
&x2022; •
&bump; ≎
&8782; ≎
&x224e; ≎
&bumpE; ⪮
&10926; ⪮
&x2aae; ⪮
&bumpe; ≏
&8783; ≏
&x224f; ≏
&bumpeq; ≏
&8783; ≏
&x224f; ≏
&cacute; ć
&263; ć
&x0107; ć
&cap; ∩
&8745; ∩
&x2229; ∩
&capand; ⩄
&10820; ⩄
&x2a44; ⩄
&capbrcup; ⩉
&10825; ⩉
&x2a49; ⩉
&capcap; ⩋
&10827; ⩋
&x2a4b; ⩋
&capcup; ⩇
&10823; ⩇
&x2a47; ⩇
&capdot; ⩀
&10816; ⩀
&x2a40; ⩀
&caps; ∩︀
&8745; ∩︀
&x2229; ∩︀
&65024; ∩︀
&xfe00; ∩︀
&caret; ⁁
&8257; ⁁
&x2041; ⁁
&caron; ˇ
&711; ˇ
&x02c7; ˇ
&ccaps; ⩍
&10829; ⩍
&x2a4d; ⩍
&ccaron; č
&269; č
&x010d; č
&ccedil; ç
&231; ç
&xe7; ç
&x00e7; ç
&ccirc; ĉ
&265; ĉ
&x0109; ĉ
&ccups; ⩌
&10828; ⩌
&x2a4c; ⩌
&ccupssm; ⩐
&10832; ⩐
&x2a50; ⩐
&cdot; ċ
&267; ċ
&x010b; ċ
&cedil; ¸
&184; ¸
&xb8; ¸
&x00b8; ¸
&cemptyv; ⦲
&10674; ⦲
&x29b2; ⦲
&cent; ¢
&162; ¢
&xa2; ¢
&x00a2; ¢
&centerdot; ·
&183; ·
&xb7; ·
&x00b7; ·
&cfr; 𝔠
&120096; 𝔠
&x1d520; 𝔠
&chcy; ч
&1095; ч
&x0447; ч
&check; ✓
&10003; ✓
&x2713; ✓
&checkmark; ✓
&10003; ✓
&x2713; ✓
&chi; χ
&967; χ
&x03c7; χ
&cir; ○
&9675; ○
&x25cb; ○
&cirE; ⧃
&10691; ⧃
&x29c3; ⧃
&circ; ˆ
&710; ˆ
&x02c6; ˆ
&circeq; ≗
&8791; ≗
&x2257; ≗
&circlearrowleft; ↺
&8634; ↺
&x21ba; ↺
&circlearrowright; ↻
&8635; ↻
&x21bb; ↻
&circledR; ®
&174; ®
&xae; ®
&x00ae; ®
&circledS; Ⓢ
&9416; Ⓢ
&x24c8; Ⓢ
&circledast; ⊛
&8859; ⊛
&x229b; ⊛
&circledcirc; ⊚
&8858; ⊚
&x229a; ⊚
&circleddash; ⊝
&8861; ⊝
&x229d; ⊝
&cire; ≗
&8791; ≗
&x2257; ≗
&cirfnint; ⨐
&10768; ⨐
&x2a10; ⨐
&cirmid; ⫯
&10991; ⫯
&x2aef; ⫯
&cirscir; ⧂
&10690; ⧂
&x29c2; ⧂
&clubs; ♣
&9827; ♣
&x2663; ♣
&clubsuit; ♣
&9827; ♣
&x2663; ♣
&colon; :
&58; :
&x3a; :
&x003a; :
&colone; ≔
&8788; ≔
&x2254; ≔
&coloneq; ≔
&8788; ≔
&x2254; ≔
&comma; ,
&44; ,
&x2c; ,
&x002c; ,
&commat; @
&64; @
&x40; @
&x0040; @
&comp; ∁
&8705; ∁
&x2201; ∁
&compfn; ∘
&8728; ∘
&x2218; ∘
&complement; ∁
&8705; ∁
&x2201; ∁
&complexes; ℂ
&8450; ℂ
&x2102; ℂ
&cong; ≅
&8773; ≅
&x2245; ≅
&congdot; ⩭
&10861; ⩭
&x2a6d; ⩭
&conint; ∮
&8750; ∮
&x222e; ∮
&copf; 𝕔
&120148; 𝕔
&x1d554; 𝕔
&coprod; ∐
&8720; ∐
&x2210; ∐
&copy; ©
&169; ©
&xa9; ©
&x00a9; ©
&copysr; ℗
&8471; ℗
&x2117; ℗
&crarr; ↵
&8629; ↵
&x21b5; ↵
&cross; ✗
&10007; ✗
&x2717; ✗
&cscr; 𝒸
&119992; 𝒸
&x1d4b8; 𝒸
&csub; ⫏
&10959; ⫏
&x2acf; ⫏
&csube; ⫑
&10961; ⫑
&x2ad1; ⫑
&csup; ⫐
&10960; ⫐
&x2ad0; ⫐
&csupe; ⫒
&10962; ⫒
&x2ad2; ⫒
&ctdot; ⋯
&8943; ⋯
&x22ef; ⋯
&cudarrl; ⤸
&10552; ⤸
&x2938; ⤸
&cudarrr; ⤵
&10549; ⤵
&x2935; ⤵
&cuepr; ⋞
&8926; ⋞
&x22de; ⋞
&cuesc; ⋟
&8927; ⋟
&x22df; ⋟
&cularr; ↶
&8630; ↶
&x21b6; ↶
&cularrp; ⤽
&10557; ⤽
&x293d; ⤽
&cup; ∪
&8746; ∪
&x222a; ∪
&cupbrcap; ⩈
&10824; ⩈
&x2a48; ⩈
&cupcap; ⩆
&10822; ⩆
&x2a46; ⩆
&cupcup; ⩊
&10826; ⩊
&x2a4a; ⩊
&cupdot; ⊍
&8845; ⊍
&x228d; ⊍
&cupor; ⩅
&10821; ⩅
&x2a45; ⩅
&cups; ∪︀
&8746; ∪︀
&x222a; ∪︀
&65024; ∪︀
&xfe00; ∪︀
&curarr; ↷
&8631; ↷
&x21b7; ↷
&curarrm; ⤼
&10556; ⤼
&x293c; ⤼
&curlyeqprec; ⋞
&8926; ⋞
&x22de; ⋞
&curlyeqsucc; ⋟
&8927; ⋟
&x22df; ⋟
&curlyvee; ⋎
&8910; ⋎
&x22ce; ⋎
&curlywedge; ⋏
&8911; ⋏
&x22cf; ⋏
&curren; ¤
&164; ¤
&xa4; ¤
&x00a4; ¤
&curvearrowleft; ↶
&8630; ↶
&x21b6; ↶
&curvearrowright; ↷
&8631; ↷
&x21b7; ↷
&cuvee; ⋎
&8910; ⋎
&x22ce; ⋎
&cuwed; ⋏
&8911; ⋏
&x22cf; ⋏
&cwconint; ∲
&8754; ∲
&x2232; ∲
&cwint; ∱
&8753; ∱
&x2231; ∱
&cylcty; ⌭
&9005; ⌭
&x232d; ⌭
&dArr; ⇓
&8659; ⇓
&x21d3; ⇓
&dHar; ⥥
&10597; ⥥
&x2965; ⥥
&dagger; †
&8224; †
&x2020; †
&daleth; ℸ
&8504; ℸ
&x2138; ℸ
&darr; ↓
&8595; ↓
&x2193; ↓
&dash; ‐
&8208; ‐
&x2010; ‐
&dashv; ⊣
&8867; ⊣
&x22a3; ⊣
&dbkarow; ⤏
&10511; ⤏
&x290f; ⤏
&dblac; ˝
&733; ˝
&x02dd; ˝
&dcaron; ď
&271; ď
&x010f; ď
&dcy; д
&1076; д
&x0434; д
&dd; ⅆ
&8518; ⅆ
&x2146; ⅆ
&ddagger; ‡
&8225; ‡
&x2021; ‡
&ddarr; ⇊
&8650; ⇊
&x21ca; ⇊
&ddotseq; ⩷
&10871; ⩷
&x2a77; ⩷
&deg; °
&176; °
&xb0; °
&x00b0; °
&delta; δ
&948; δ
&x03b4; δ
&demptyv; ⦱
&10673; ⦱
&x29b1; ⦱
&dfisht; ⥿
&10623; ⥿
&x297f; ⥿
&dfr; 𝔡
&120097; 𝔡
&x1d521; 𝔡
&dharl; ⇃
&8643; ⇃
&x21c3; ⇃
&dharr; ⇂
&8642; ⇂
&x21c2; ⇂
&diam; ⋄
&8900; ⋄
&x22c4; ⋄
&diamond; ⋄
&8900; ⋄
&x22c4; ⋄
&diamondsuit; ♦
&9830; ♦
&x2666; ♦
&diams; ♦
&9830; ♦
&x2666; ♦
&die; ¨
&168; ¨
&xa8; ¨
&x00a8; ¨
&digamma; ϝ
&989; ϝ
&x03dd; ϝ
&disin; ⋲
&8946; ⋲
&x22f2; ⋲
&div; ÷
&247; ÷
&xf7; ÷
&x00f7; ÷
&divide; ÷
&247; ÷
&xf7; ÷
&x00f7; ÷
&divideontimes; ⋇
&8903; ⋇
&x22c7; ⋇
&divonx; ⋇
&8903; ⋇
&x22c7; ⋇
&djcy; ђ
&1106; ђ
&x0452; ђ
&dlcorn; ⌞
&8990; ⌞
&x231e; ⌞
&dlcrop; ⌍
&8973; ⌍
&x230d; ⌍
&dollar; $
&36; $
&x24; $
&x0024; $
&dopf; 𝕕
&120149; 𝕕
&x1d555; 𝕕
&dot; ˙
&729; ˙
&x02d9; ˙
&doteq; ≐
&8784; ≐
