ENTITY,CHARACTER
&8656; ⇐
&x21d0; ⇐
&DoubleLeftRightArrow; ⇔
&8660; ⇔
&x21d4; ⇔
&DoubleLeftTee; ⫤
&10980; ⫤
&x2ae4; ⫤
&DoubleLongLeftArrow; ⟸
&10232; ⟸
&x27f8; ⟸
&DoubleLongLeftRightArrow; ⟺
&10234; ⟺
&x27fa; ⟺
&DoubleLongRightArrow; ⟹
&10233; ⟹
&x27f9; ⟹
&DoubleRightArrow; ⇒
&8658; ⇒
&x21d2; ⇒
&DoubleRightTee; ⊨
&8872; ⊨
&x22a8; ⊨
&DoubleUpArrow; ⇑
&8657; ⇑
&x21d1; ⇑
&DoubleUpDownArrow; ⇕
&8661; ⇕
&x21d5; ⇕
&DoubleVerticalBar; ∥
&8741; ∥
&x2225; ∥
&DownArrow; ↓
&8595; ↓
&x2193; ↓
&DownArrowBar; ⤓
&10515; ⤓
&x2913; ⤓
&DownArrowUpArrow; ⇵
&8693; ⇵
&x21f5; ⇵
&DownBreve; ̑
&785; ̑
&x0311; ̑
&DownLeftRightVector; ⥐
&10576; ⥐
&x2950; ⥐
&DownLeftTeeVector; ⥞
&10590; ⥞
&x295e; ⥞
&DownLeftVector; ↽
&8637; ↽
&x21bd; ↽
&DownLeftVectorBar; ⥖
&10582; ⥖
&x2956; ⥖
&DownRightTeeVector; ⥟
&10591; ⥟
&x295f; ⥟
&DownRightVector; ⇁
&8641; ⇁
&x21c1; ⇁
&DownRightVectorBar; ⥗
&10583; ⥗
&x2957; ⥗
&DownTee; ⊤
&8868; ⊤
&x22a4; ⊤
&DownTeeArrow; ↧
&8615; ↧
&x21a7; ↧
&Downarrow; ⇓
&8659; ⇓
&x21d3; ⇓
&Dscr; 𝒟
&119967; 𝒟
&x1d49f; 𝒟
&Dstrok; Đ
&272; Đ
&x0110; Đ
&ENG; Ŋ
&330; Ŋ
&x014a; Ŋ
&ETH; Ð
&208; Ð
&xd0; Ð
&x00d0; Ð
&Eacute; É
&201; É
&xc9; É
&x00c9; É
&Ecaron; Ě
&282; Ě
&x011a; Ě
&Ecirc; Ê
&202; Ê
&xca; Ê
&x00ca; Ê
&Ecy; Э
&1069; Э
&x042d; Э
&Edot; Ė
&278; Ė
&x0116; Ė
&Efr; 𝔈
&120072; 𝔈
&x1d508; 𝔈
&Egrave; È
&200; È
&xc8; È
&x00c8; È
&Element; ∈
&8712; ∈
&x2208; ∈
&Emacr; Ē
&274; Ē
&x0112; Ē
&EmptySmallSquare; ◻
&9723; ◻
&x25fb; ◻
&EmptyVerySmallSquare; ▫
&9643; ▫
&x25ab; ▫
&Eogon; Ę
&280; Ę
&x0118; Ę
&Eopf; 𝔼
&120124; 𝔼
&x1d53c; 𝔼
&Epsilon; Ε
&917; Ε
&x0395; Ε
&Equal; ⩵
&10869; ⩵
&x2a75; ⩵
&EqualTilde; ≂
&8770; ≂
&x2242; ≂
&Equilibrium; ⇌
&8652; ⇌
&x21cc; ⇌
&Escr; ℰ
&8496; ℰ
&x2130; ℰ
&Esim; ⩳
&10867; ⩳
&x2a73; ⩳
&Eta; Η
&919; Η
&x0397; Η
&Euml; Ë
&203; Ë
&xcb; Ë
&x00cb; Ë
&Exists; ∃
&8707; ∃
&x2203; ∃
&ExponentialE; ⅇ
&8519; ⅇ
&x2147; ⅇ
&Fcy; Ф
&1060; Ф
&x0424; Ф
&Ffr; 𝔉
&120073; 𝔉
&x1d509; 𝔉
&FilledSmallSquare; ◼
&9724; ◼
&x25fc; ◼
&FilledVerySmallSquare; ▪
&9642; ▪
&x25aa; ▪
&Fopf; 𝔽
&120125; 𝔽
&x1d53d; 𝔽
&ForAll; ∀
&8704; ∀
&x2200; ∀
&Fouriertrf; ℱ
&8497; ℱ
&x2131; ℱ
&Fscr; ℱ
&8497; ℱ
&x2131; ℱ
&GJcy; Ѓ
&1027; Ѓ
&x0403; Ѓ
&GT; >
&62; >
&x3e; >
&x003e; >
&Gamma; Γ
&915; Γ
&x0393; Γ
&Gammad; Ϝ
&988; Ϝ
&x03dc; Ϝ
&Gbreve; Ğ
&286; Ğ
&x011e; Ğ
&Gcedil; Ģ
&290; Ģ
&x0122; Ģ
&Gcirc; Ĝ
&284; Ĝ
&x011c; Ĝ
&Gcy; Г
&1043; Г
&x0413; Г
&Gdot; Ġ
&288; Ġ
&x0120; Ġ
&Gfr; 𝔊
&120074; 𝔊
&x1d50a; 𝔊
&Gg; ⋙
&8921; ⋙
&x22d9; ⋙
&Gopf; 𝔾
&120126; 𝔾
&x1d53e; 𝔾
&GreaterEqual; ≥
&8805; ≥
&x2265; ≥
&GreaterEqualLess; ⋛
&8923; ⋛
&x22db; ⋛
&GreaterFullEqual; ≧
&8807; ≧
&x2267; ≧
&GreaterGreater; ⪢
&10914; ⪢
&x2aa2; ⪢
&GreaterLess; ≷
&8823; ≷
&x2277; ≷
&GreaterSlantEqual; ⩾
&10878; ⩾
&x2a7e; ⩾
&GreaterTilde; ≳
&8819; ≳
&x2273; ≳
&Gscr; 𝒢
&119970; 𝒢
&x1d4a2; 𝒢
&Gt; ≫
&8811; ≫
&x226b; ≫
&HARDcy; Ъ
&1066; Ъ
&x042a; Ъ
&Hacek; ˇ
&711; ˇ
&x02c7; ˇ
&Hat; ^
&94; ^
&x5e; ^
&x005e; ^
&Hcirc; Ĥ
&292; Ĥ
&x0124; Ĥ
&Hfr; ℌ
&8460; ℌ
&x210c; ℌ
&HilbertSpace; ℋ
&8459; ℋ
&x210b; ℋ
&Hopf; ℍ
&8461; ℍ
&x210d; ℍ
&HorizontalLine; ─
&9472; ─
&x2500; ─
&Hscr; ℋ
&8459; ℋ
&x210b; ℋ
&Hstrok; Ħ
&294; Ħ
&x0126; Ħ
&HumpDownHump; ≎
&8782; ≎
&x224e; ≎
&HumpEqual; ≏
&8783; ≏
&x224f; ≏
&IEcy; Е
&1045; Е
&x0415; Е
&IJlig; Ĳ
&306; Ĳ
&x0132; Ĳ
&IOcy; Ё
&1025; Ё
&x0401; Ё
&Iacute; Í
&205; Í
&xcd; Í
&x00cd; Í
&Icirc; Î
&206; Î
&xce; Î
&x00ce; Î
&Icy; И
&1048; И
&x0418; И
&Idot; İ
&304; İ
&x0130; İ
&Ifr; ℑ
&8465; ℑ
&x2111; ℑ
&Igrave; Ì
&204; Ì
&xcc; Ì
&x00cc; Ì
&Im; ℑ
&8465; ℑ
&x2111; ℑ
&Imacr; Ī
&298; Ī
&x012a; Ī
&ImaginaryI; ⅈ
&8520; ⅈ
&x2148; ⅈ
&Implies; ⇒
&8658; ⇒
&x21d2; ⇒
&Int; ∬
&8748; ∬
&x222c; ∬
&Integral; ∫
&8747; ∫
&x222b; ∫
&Intersection; ⋂
&8898; ⋂
&x22c2; ⋂
&InvisibleComma; ⁣
&8291; ⁣
&x2063; ⁣
&InvisibleTimes; ⁢
&8290; ⁢
&x2062; ⁢
&Iogon; Į
&302; Į
&x012e; Į
&Iopf; 𝕀
&120128; 𝕀
&x1d540; 𝕀
&Iota; Ι
&921; Ι
&x0399; Ι
&Iscr; ℐ
&8464; ℐ
&x2110; ℐ
&Itilde; Ĩ
&296; Ĩ
&x0128; Ĩ
&Iukcy; І
&1030; І
&x0406; І
&Iuml; Ï
&207; Ï
&xcf; Ï
&x00cf; Ï
&Jcirc; Ĵ
&308; Ĵ
&x0134; Ĵ
&Jcy; Й
&1049; Й
&x0419; Й
&Jfr; 𝔍
&120077; 𝔍
&x1d50d; 𝔍
&Jopf; 𝕁
&120129; 𝕁
&x1d541; 𝕁
&Jscr; 𝒥
&119973; 𝒥
&x1d4a5; 𝒥
&Jsercy; Ј
&1032; Ј
&x0408; Ј
&Jukcy; Є
&1028; Є
&x0404; Є
&KHcy; Х
&1061; Х
&x0425; Х
&KJcy; Ќ
&1036; Ќ
&x040c; Ќ
&Kappa; Κ
&922; Κ
&x039a; Κ
&Kcedil; Ķ
&310; Ķ
&x0136; Ķ
&Kcy; К
&1050; К
&x041a; К
&Kfr; 𝔎
&120078; 𝔎
&x1d50e; 𝔎
&Kopf; 𝕂
&120130; 𝕂
&x1d542; 𝕂
&Kscr; 𝒦
&119974; 𝒦
&x1d4a6; 𝒦
&LJcy; Љ
&1033; Љ
&x0409; Љ
&LT; <
&60; <
&x3c; <
&x003c; <
&Lacute; Ĺ
&313; Ĺ
&x0139; Ĺ
&Lambda; Λ
&923; Λ
&x039b; Λ
&Lang; ⟪
&10218; ⟪
&x27ea; ⟪
&Laplacetrf; ℒ
&8466; ℒ
&x2112; ℒ
&Larr; ↞
&8606; ↞
