__UPPERCASE words to preserve
ADN
ARN
BIE
BIT
EEG
FJP
I
II
III
INRC
IRM
IV
IX
MIT
N.R.
NDLR
NDLR
PS
PUF
SDN
UNESCO
URSS
URSS
V
VI
VII
VIII
X
XI
XII
XIII
XIV
XIX
XL
XLI
XLII
XLIII
XLIV
XLIX
XLV
XLVI
XLVII
XLVIII
XV
XVI 
XVII
XVIII
XX
XXI
XXII
XXIII
XXIV
XXIX
XXV
XXVI
XXVII
XXVIII
XXX
XXXI
XXXII
XXXIII
XXXIV
XXXIX
XXXV
XXXVI
XXXVI
XXXVII
XXXVIII
