fr-reforme1990_only,fr-classique_only
croitrez,croîtrez
croitriez,croîtriez
croitrions,croîtrions
croitrons,croîtrons
croitront,croîtront
croits,croîts
croquemadame,croque-madame
croquemonsieur,croque-monsieur
croquemort,croque-mort
croquemorts,croque-morts
croquenote,croque-note
croquenotes,croque-notes
crouta,croûta
croutai,croûtai
croutaient,croûtaient
croutais,croûtais
croutait,croûtait
croutâmes,croûtâmes
croutant,croûtant
croutas,croûtas
croutasse,croûtasse
croutassent,croûtassent
croutasses,croûtasses
croutassiez,croûtassiez
croutassions,croûtassions
croutât,croûtât
croutâtes,croûtâtes
croutée,croûtée
croutées,croûtées
croutent,croûtent
crouter,croûter
croutera,croûtera
crouterai,croûterai
crouteraient,croûteraient
crouterais,croûterais
crouterait,croûterait
crouteras,croûteras
croutèrent,croûtèrent
crouterez,croûterez
crouteriez,croûteriez
crouterions,croûterions
crouterons,croûterons
crouteront,croûteront
crouteuse,croûteuse
crouteuses,croûteuses
crouteux,croûteux
croutez,croûtez
croutiez,croûtiez
croutions,croûtions
crouton,croûton
croutonna,croûtonna
croutonnai,croûtonnai
croutonnaient,croûtonnaient
croutonnais,croûtonnais
croutonnait,croûtonnait
croutonnâmes,croûtonnâmes
croutonnant,croûtonnant
croutonnas,croûtonnas
croutonnasse,croûtonnasse
croutonnassent,croûtonnassent
croutonnasses,croûtonnasses
croutonnassiez,croûtonnassiez
croutonnassions,croûtonnassions
croutonnât,croûtonnât
croutonnâtes,croûtonnâtes
croutonnée,croûtonnée
croutonnées,croûtonnées
croutonnent,croûtonnent
croutonner,croûtonner
croutonnera,croûtonnera
croutonnerai,croûtonnerai
croutonneraient,croûtonneraient
croutonnerais,croûtonnerais
croutonnerait,croûtonnerait
croutonneras,croûtonneras
croutonnèrent,croûtonnèrent
croutonnerez,croûtonnerez
croutonneriez,croûtonneriez
croutonnerions,croûtonnerions
croutonnerons,croûtonnerons
croutonneront,croûtonneront
croutonnez,croûtonnez
croutonniez,croûtonniez
croutonnions,croûtonnions
croutonnons,croûtonnons
croutons,croûtons
crument,crûment
cuicui,cui-cui
cul-de-bassefosse,cul-de-basse-fosse
culs-de-bassefosse,culs-de-basse-fosse
cumulodôme,cumulo-dôme
cumulodômes,cumulo-dômes
cumulovolcan,cumulo-volcan
cumulovolcans,cumulo-volcans
cuproalliage,cupro-alliage
cuproalliages,cupro-alliages
cuproaluminium,cupro-aluminium
cuproaluminiums,cupro-aluminiums
cuproammoniacal,cupro-ammoniacal
cuproammoniacale,cupro-ammoniacale
cuproammoniacales,cupro-ammoniacales
cuproammoniacaux,cupro-ammoniacaux
cutback,cut-back
cutiréaction,cuti-réaction
cutiréactions,cuti-réactions
cyclopousse,cyclo-pousse
dalaïlama,dalaï-lama
dalaïlamas,dalaï-lamas
daredare,dare-dare
déblatèrera,déblatérera
déblatèrerai,déblatérerai
déblatèreraient,déblatéreraient
déblatèrerais,déblatérerais
déblatèrerait,déblatérerait
déblatèreras,déblatéreras
déblatèrerez,déblatérerez
déblatèreriez,déblatéreriez
déblatèrerions,déblatérerions
déblatèrerons,déblatérerons
déblatèreront,déblatéreront
déboita,déboîta
déboitai,déboîtai
déboitaient,déboîtaient
déboitais,déboîtais
déboitait,déboîtait
déboitâmes,déboîtâmes
déboitant,déboîtant
déboitas,déboîtas
déboitasse,déboîtasse
déboitassent,déboîtassent
déboitasses,déboîtasses
déboitassiez,déboîtassiez
déboitassions,déboîtassions
déboitât,déboîtât
déboitâtes,déboîtâtes
déboitée,déboîtée
déboitées,déboîtées
déboitement,déboîtement
déboitements,déboîtements
déboitent,déboîtent
déboiter,déboîter
déboitera,déboîtera
déboiterai,déboîterai
déboiteraient,déboîteraient
déboiterais,déboîterais
déboiterait,déboîterait
déboiteras,déboîteras
déboitèrent,déboîtèrent
déboiterez,déboîterez
déboiteriez,déboîteriez
déboiterions,déboîterions
déboiterons,déboîterons
déboiteront,déboîteront
déboitez,déboîtez
déboitiez,déboîtiez
déboitions,déboîtions
déboitons,déboîtons
décacandéla,décacandela
décacandélas,décacandelas
décawéber,décaweber
décawébers,décawebers
décèdera,décédera
décèderai,décéderai
décèderaient,décéderaient
décèderais,décéderais
décèderait,décéderait
décèderas,décéderas
décèderez,décéderez
décèderiez,décéderiez
décèderions,décéderions
décèderons,décéderons
décèderont,décéderont
décélèrera,décélérera
décélèrerai,décélérerai
décélèreraient,décéléreraient
décélèrerais,décélérerais
décélèrerait,décélérerait
décélèreras,décéléreras
décélèrerez,décélérerez
décélèreriez,décéléreriez
décélèrerions,décélérerions
décélèrerons,décélérerons
décélèreront,décéléreront
décérèbrera,décérébrera
décérèbrerai,décérébrerai
décérèbreraient,décérébreraient
décérèbrerais,décérébrerais
décérèbrerait,décérébrerait
décérèbreras,décérébreras
décérèbrerez,décérébrerez
décérèbreriez,décérébreriez
décérèbrerions,décérébrerions
décérèbrerons,décérébrerons
décérèbreront,décérébreront
déchaina,déchaîna
déchainai,déchaînai
déchainaient,déchaînaient
déchainais,déchaînais
déchainait,déchaînait
déchainâmes,déchaînâmes
déchainant,déchaînant
déchainas,déchaînas
déchainasse,déchaînasse
déchainassent,déchaînassent
déchainasses,déchaînasses
déchainassiez,déchaînassiez
déchainassions,déchaînassions
déchainât,déchaînât
déchainâtes,déchaînâtes
déchainée,déchaînée
déchainées,déchaînées
déchainement,déchaînement
déchainements,déchaînements
déchainent,déchaînent
déchainer,déchaîner
déchainera,déchaînera
déchainerai,déchaînerai
déchaineraient,déchaîneraient
déchainerais,déchaînerais
déchainerait,déchaînerait
déchaineras,déchaîneras
déchainèrent,déchaînèrent
déchainerez,déchaînerez
déchaineriez,déchaîneriez
déchainerions,déchaînerions
déchainerons,déchaînerons
déchaineront,déchaîneront
déchainez,déchaînez
déchainiez,déchaîniez
déchainions,déchaînions
déchainons,déchaînons
dèchera,déchera
dècherai,décherai
dècheraient,décheraient
dècherais,décherais
dècherait,décherait
dècheras,décheras
dècherez,décherez
dècheriez,décheriez
dècherions,décherions
dècherons,décherons
dècheront,décheront
décicandéla,décicandela
décicandélas,décicandelas
déciwéber,déciweber
déciwébers,déciwebers
décolèrera,décolérera
décolèrerai,décolérerai
décolèreraient,décoléreraient
décolèrerais,décolérerais
décolèrerait,décolérerait
décolèreras,décoléreras
décolèrerez,décolérerez
décolèreriez,décoléreriez
décolèrerions,décolérerions
décolèrerons,décolérerons
décolèreront,décoléreront
décomplètera,décomplétera
décomplèterai,décompléterai
décomplèteraient,décompléteraient
décomplèterais,décompléterais
décomplèterait,décompléterait
décomplèteras,décompléteras
décomplèterez,décompléterez
décomplèteriez,décompléteriez
décomplèterions,décompléterions
décomplèterons,décompléterons
décomplèteront,décompléteront
déconsidèrera,déconsidérera
déconsidèrerai,déconsidérerai
déconsidèreraient,déconsidéreraient
déconsidèrerais,déconsidérerais
déconsidèrerait,déconsidérerait
déconsidèreras,déconsidéreras
déconsidèrerez,déconsidérerez
déconsidèreriez,déconsidéreriez
déconsidèrerions,déconsidérerions
déconsidèrerons,déconsidérerons
déconsidèreront,déconsidéreront
décorrèlera,décorrélera
décorrèlerai,décorrélerai
décorrèleraient,décorréleraient
décorrèlerais,décorrélerais
décorrèlerait,décorrélerait
décorrèleras,décorréleras
décorrèlerez,décorrélerez
décorrèleriez,décorréleriez
décorrèlerions,décorrélerions
décorrèlerons,décorrélerons
décorrèleront,décorréleront
décrescendo,decrescendo
décrescendos,decrescendos
décrètera,décrétera
décrèterai,décréterai
décrèteraient,décréteraient
décrèterais,décréterais
décrèterait,décréterait
décrèteras,décréteras
décrèterez,décréterez
décrèteriez,décréteriez
décrèterions,décréterions
décrèterons,décréterons
décrèteront,décréteront
décroit,décroît
décroitra,décroîtra
décroitrai,décroîtrai
décroitraient,décroîtraient
décroitrais,décroîtrais
décroitrait,décroîtrait
décroitras,décroîtras
décroitre,décroître
décroitrez,décroîtrez
décroitriez,décroîtriez
décroitrions,décroîtrions
décroitrons,décroîtrons
décroitront,décroîtront
décroits,décroîts
décrouta,décroûta
décroutai,décroûtai
décroutaient,décroûtaient
décroutais,décroûtais
décroutait,décroûtait
décroutâmes,décroûtâmes
décroutant,décroûtant
décroutas,décroûtas
décroutasse,décroûtasse
décroutassent,décroûtassent
décroutasses,décroûtasses
décroutassiez,décroûtassiez
décroutassions,décroûtassions
décroutât,décroûtât
décroutâtes,décroûtâtes
décroutée,décroûtée
décroutées,décroûtées
décroutent,décroûtent
décrouter,décroûter
décroutera,décroûtera
décrouterai,décroûterai
décrouteraient,décroûteraient
décrouterais,décroûterais
décrouterait,décroûterait
décrouteras,décroûteras
décroutèrent,décroûtèrent
décrouterez,décroûterez
décrouteriez,décroûteriez
décrouterions,décroûterions
décrouterons,décroûterons
décrouteront,décroûteront
décroutez,décroûtez
décroutiez,décroûtiez
décroutions,décroûtions
décroutons,décroûtons
défèquera,déféquera
défèquerai,déféquerai
défèqueraient,déféqueraient
défèquerais,déféquerais
défèquerait,déféquerait
défèqueras,déféqueras
défèquerez,déféquerez
défèqueriez,déféqueriez
défèquerions,déféquerions
défèquerons,déféquerons
défèqueront,déféqueront
défèrera,déférera
défèrerai,déférerai
défèreraient,déféreraient
défèrerais,déférerais
défèrerait,déférerait
défèreras,déféreras
défèrerez,déférerez
défèreriez,déféreriez
défèrerions,déférerions
défèrerons,déférerons
défèreront,déféreront
défraichi,défraîchi
défraichie,défraîchie
défraichies,défraîchies
défraichîmes,défraîchîmes
défraichir,défraîchir
défraichira,défraîchira
défraichirai,défraîchirai
défraichiraient,défraîchiraient
défraichirais,défraîchirais
défraichirait,défraîchirait
défraichiras,défraîchiras
défraichirent,défraîchirent
défraichirez,défraîchirez
défraichiriez,défraîchiriez
défraichirions,défraîchirions
défraichirons,défraîchirons
défraichiront,défraîchiront
défraichis,défraîchis
défraichissaient,défraîchissaient
défraichissais,défraîchissais
défraichissait,défraîchissait
défraichissant,défraîchissant
défraichisse,défraîchisse
défraichissent,défraîchissent
défraichisses,défraîchisses
défraichissez,défraîchissez
défraichissiez,défraîchissiez
défraichissions,défraîchissions
défraichissons,défraîchissons
défraichîtes,défraîchîtes
dégénèrera,dégénérera
dégénèrerai,dégénérerai
dégénèreraient,dégénéreraient
dégénèrerais,dégénérerais
dégénèrerait,dégénérerait
dégénèreras,dégénéreras
dégénèrerez,dégénérerez
dégénèreriez,dégénéreriez
dégénèrerions,dégénérerions
dégénèrerons,dégénérerons
dégénèreront,dégénéreront
dégita,dégîta
dégitai,dégîtai
dégitaient,dégîtaient
dégitais,dégîtais
dégitait,dégîtait
dégitâmes,dégîtâmes
dégitant,dégîtant
dégitas,dégîtas
dégitasse,dégîtasse
dégitassent,dégîtassent
dégitasses,dégîtasses
dégitassiez,dégîtassiez
dégitassions,dégîtassions
dégitât,dégîtât
dégitâtes,dégîtâtes
dégitée,dégîtée
dégitées,dégîtées
dégitent,dégîtent
dégiter,dégîter
dégitera,dégîtera
dégiterai,dégîterai
dégiteraient,dégîteraient
dégiterais,dégîterais
dégiterait,dégîterait
dégiteras,dégîteras
dégitèrent,dégîtèrent
dégiterez,dégîterez
dégiteriez,dégîteriez
dégiterions,dégîterions
dégiterons,dégîterons
dégiteront,dégîteront
dégitez,dégîtez
dégitiez,dégîtiez
dégitions,dégîtions
dégitons,dégîtons
dégout,dégoût
dégouta,dégoûta
dégoutai,dégoûtai
dégoutaient,dégoûtaient
dégoutais,dégoûtais
dégoutait,dégoûtait
dégoutâmes,dégoûtâmes
dégoutamment,dégoûtamment
dégoutant,dégoûtant
dégoutante,dégoûtante
dégoutantes,dégoûtantes
dégoutants,dégoûtants
dégoutas,dégoûtas
dégoutasse,dégoûtasse
dégoutassent,dégoûtassent
dégoutasses,dégoûtasses
dégoutassiez,dégoûtassiez
dégoutassions,dégoûtassions
dégoutât,dégoûtât
dégoutâtes,dégoûtâtes
dégoutation,dégoûtation
dégoutations,dégoûtations
dégoutée,dégoûtée
dégoutées,dégoûtées
dégoutent,dégoûtent
dégouter,dégoûter
dégoutera,dégoûtera
dégouterai,dégoûterai
dégouteraient,dégoûteraient
dégouterais,dégoûterais
dégouterait,dégoûterait
dégouteras,dégoûteras
dégoutèrent,dégoûtèrent
dégouterez,dégoûterez
dégouteriez,dégoûteriez
dégouterions,dégoûterions
dégouterons,dégoûterons
dégouteront,dégoûteront
dégoutez,dégoûtez
dégoutiez,dégoûtiez
dégoutions,dégoûtions
dégoutons,dégoûtons
dégouts,dégoûts
dégrènera,dégrénera
dégrènerai,dégrénerai
dégrèneraient,dégréneraient
dégrènerais,dégrénerais
dégrènerait,dégrénerait
dégrèneras,dégréneras
dégrènerez,dégrénerez
dégrèneriez,dégréneriez
dégrènerions,dégrénerions
dégrènerons,dégrénerons
dégrèneront,dégréneront
déléatur,deleatur
délèguera,déléguera
délèguerai,déléguerai
délègueraient,délégueraient
délèguerais,déléguerais
délèguerait,déléguerait
délègueras,délégueras
délèguerez,déléguerez
délègueriez,délégueriez
délèguerions,déléguerions
délèguerons,déléguerons
délègueront,délégueront
délibèrera,délibérera
délibèrerai,délibérerai
délibèreraient,délibéreraient
délibèrerais,délibérerais
délibèrerait,délibérerait
délibèreras,délibéreras
délibèrerez,délibérerez
délibèreriez,délibéreriez
délibèrerions,délibérerions
délibèrerons,délibérerons
délibèreront,délibéreront
délirium,delirium
démodex,demodex
déplait,déplaît
dépossèdera,dépossédera
dépossèderai,déposséderai
dépossèderaient,déposséderaient
dépossèderais,déposséderais
dépossèderait,déposséderait
dépossèderas,déposséderas
dépossèderez,déposséderez
dépossèderiez,déposséderiez
dépossèderions,déposséderions
dépossèderons,déposséderons
dépossèderont,déposséderont
dépoussièrera,dépoussiérera
dépoussièrerai,dépoussiérerai
dépoussièreraient,dépoussiéreraient
dépoussièrerais,dépoussiérerais
dépoussièrerait,dépoussiérerait
dépoussièreras,dépoussiéreras
dépoussièrerez,dépoussiérerez
dépoussièreriez,dépoussiéreriez
dépoussièrerions,dépoussiérerions
dépoussièrerons,dépoussiérerons
dépoussièreront,dépoussiéreront
déprotègera,déprotégera
déprotègerai,déprotégerai
déprotègeraient,déprotégeraient
déprotègerais,déprotégerais
déprotègerait,déprotégerait
déprotègeras,déprotégeras
déprotègerez,déprotégerez
déprotègeriez,déprotégeriez
déprotègerions,déprotégerions
déprotègerons,déprotégerons
déprotègeront,déprotégeront
dérèglementa,déréglementa
dérèglementai,déréglementai
dérèglementaient,déréglementaient
dérèglementaire,déréglementaire
dérèglementaires,déréglementaires
dérèglementais,déréglementais
dérèglementait,déréglementait
dérèglementâmes,déréglementâmes
dérèglementant,déréglementant
dérèglementas,déréglementas
dérèglementasse,déréglementasse
dérèglementassent,déréglementassent
dérèglementasses,déréglementasses
dérèglementassiez,déréglementassiez
dérèglementassions,déréglementassions
dérèglementât,déréglementât
dérèglementâtes,déréglementâtes
dérèglementation,déréglementation
dérèglementations,déréglementations
dérèglementée,déréglementée
dérèglementées,déréglementées
dérèglementent,déréglementent
dérèglementer,déréglementer
dérèglementera,déréglementera
dérèglementerai,déréglementerai
dérèglementeraient,déréglementeraient
dérèglementerais,déréglementerais
dérèglementerait,déréglementerait
dérèglementeras,déréglementeras
dérèglementèrent,déréglementèrent
dérèglementerez,déréglementerez
dérèglementeriez,déréglementeriez
dérèglementerions,déréglementerions
dérèglementerons,déréglementerons
dérèglementeront,déréglementeront
dérèglementez,déréglementez
dérèglementiez,déréglementiez
dérèglementions,déréglementions
dérèglementons,déréglementons
dérèglera,déréglera
dérèglerai,déréglerai
dérègleraient,dérégleraient
dérèglerais,déréglerais
dérèglerait,déréglerait
dérègleras,dérégleras
dérèglerez,déréglerez
dérègleriez,dérégleriez
dérèglerions,déréglerions
dérèglerons,déréglerons
dérègleront,dérégleront
désacièrera,désaciérera
désacièrerai,désaciérerai
désacièreraient,désaciéreraient
désacièrerais,désaciérerais
désacièrerait,désaciérerait
désacièreras,désaciéreras
désacièrerez,désaciérerez
désacièreriez,désaciéreriez
désacièrerions,désaciérerions
désacièrerons,désaciérerons
désacièreront,désaciéreront
désaèrera,désaérera
désaèrerai,désaérerai
désaèreraient,désaéreraient
désaèrerais,désaérerais
désaèrerait,désaérerait
désaèreras,désaéreras
désaèrerez,désaérerez
désaèreriez,désaéreriez
désaèrerions,désaérerions
désaèrerons,désaérerons
désaèreront,désaéreront
désagglomèrera,désagglomérera
désagglomèrerai,désagglomérerai
désagglomèreraient,désaggloméreraient
désagglomèrerais,désagglomérerais
désagglomèrerait,désagglomérerait
désagglomèreras,désaggloméreras
désagglomèrerez,désagglomérerez
désagglomèreriez,désaggloméreriez
désagglomèrerions,désagglomérerions
désagglomèrerons,désagglomérerons
désagglomèreront,désaggloméreront
désagrègera,désagrégera
désagrègerai,désagrégerai
désagrègeraient,désagrégeraient
désagrègerais,désagrégerais
désagrègerait,désagrégerait
désagrègeras,désagrégeras
désagrègerez,désagrégerez
désagrègeriez,désagrégeriez
désagrègerions,désagrégerions
désagrègerons,désagrégerons
désagrègeront,désagrégeront
désaliènera,désaliénera
désaliènerai,désaliénerai
désalièneraient,désaliéneraient
désaliènerais,désaliénerais
désaliènerait,désaliénerait
désalièneras,désaliéneras
désaliènerez,désaliénerez
désalièneriez,désaliéneriez
désaliènerions,désaliénerions
désaliènerons,désaliénerons
désalièneront,désaliéneront
désaltèrera,désaltérera
désaltèrerai,désaltérerai
désaltèreraient,désaltéreraient
désaltèrerais,désaltérerais
désaltèrerait,désaltérerait
désaltèreras,désaltéreras
désaltèrerez,désaltérerez
désaltèreriez,désaltéreriez
désaltèrerions,désaltérerions
désaltèrerons,désaltérerons
désaltèreront,désaltéreront
désambigüisa,désambiguïsa
désambigüisai,désambiguïsai
désambigüisaient,désambiguïsaient
désambigüisais,désambiguïsais
désambigüisait,désambiguïsait
désambigüisâmes,désambiguïsâmes
désambigüisant,désambiguïsant
désambigüisas,désambiguïsas
désambigüisasse,désambiguïsasse
désambigüisassent,désambiguïsassent
désambigüisasses,désambiguïsasses
désambigüisassiez,désambiguïsassiez
désambigüisassions,désambiguïsassions
désambigüisât,désambiguïsât
désambigüisâtes,désambiguïsâtes
désambigüisateur,désambiguïsateur
désambigüisateurs,désambiguïsateurs
désambigüisation,désambiguïsation
désambigüisations,désambiguïsations
désambigüisatrice,désambiguïsatrice
désambigüisatrices,désambiguïsatrices
désambigüisée,désambiguïsée
désambigüisées,désambiguïsées
désambigüisent,désambiguïsent
désambigüiser,désambiguïser
désambigüisera,désambiguïsera
désambigüiserai,désambiguïserai
désambigüiseraient,désambiguïseraient
désambigüiserais,désambiguïserais
désambigüiserait,désambiguïserait
désambigüiseras,désambiguïseras
désambigüisèrent,désambiguïsèrent
désambigüiserez,désambiguïserez
désambigüiseriez,désambiguïseriez
désambigüiserions,désambiguïserions
désambigüiserons,désambiguïserons
désambigüiseront,désambiguïseront
désambigüisez,désambiguïsez
désambigüisiez,désambiguïsiez
désambigüisions,désambiguïsions
désambigüisons,désambiguïsons
désenchaina,désenchaîna
désenchainai,désenchaînai
désenchainaient,désenchaînaient
désenchainais,désenchaînais
désenchainait,désenchaînait
désenchainâmes,désenchaînâmes
désenchainant,désenchaînant
désenchainas,désenchaînas
désenchainasse,désenchaînasse
désenchainassent,désenchaînassent
désenchainasses,désenchaînasses
désenchainassiez,désenchaînassiez
désenchainassions,désenchaînassions
désenchainât,désenchaînât
désenchainâtes,désenchaînâtes
désenchainée,désenchaînée
désenchainées,désenchaînées
désenchainent,désenchaînent
désenchainer,désenchaîner
désenchainera,désenchaînera
désenchainerai,désenchaînerai
désenchaineraient,désenchaîneraient
désenchainerais,désenchaînerais
désenchainerait,désenchaînerait
désenchaineras,désenchaîneras
désenchainèrent,désenchaînèrent
désenchainerez,désenchaînerez
désenchaineriez,désenchaîneriez
désenchainerions,désenchaînerions
désenchainerons,désenchaînerons
désenchaineront,désenchaîneront
désenchainez,désenchaînez
désenchainiez,désenchaîniez
désenchainions,désenchaînions
désenchainons,désenchaînons
désenvouta,désenvoûta
désenvoutai,désenvoûtai
désenvoutaient,désenvoûtaient
désenvoutais,désenvoûtais
désenvoutait,désenvoûtait
désenvoutâmes,désenvoûtâmes
désenvoutant,désenvoûtant
désenvoutas,désenvoûtas
désenvoutasse,désenvoûtasse
désenvoutassent,désenvoûtassent
désenvoutasses,désenvoûtasses
désenvoutassiez,désenvoûtassiez
désenvoutassions,désenvoûtassions
désenvoutât,désenvoûtât
désenvoutâtes,désenvoûtâtes
désenvoutée,désenvoûtée
désenvoutées,désenvoûtées
désenvoutement,désenvoûtement
désenvoutements,désenvoûtements
désenvoutent,désenvoûtent
désenvouter,désenvoûter
désenvoutera,désenvoûtera
désenvouterai,désenvoûterai
désenvouteraient,désenvoûteraient
désenvouterais,désenvoûterais
désenvouterait,désenvoûterait
désenvouteras,désenvoûteras
désenvoutèrent,désenvoûtèrent
désenvouterez,désenvoûterez
désenvouteriez,désenvoûteriez
désenvouterions,désenvoûterions
désenvouterons,désenvoûterons
désenvouteront,désenvoûteront
désenvoutez,désenvoûtez
désenvoutiez,désenvoûtiez
désenvoutions,désenvoûtions
désenvoutons,désenvoûtons
désespèrera,désespérera
désespèrerai,désespérerai
désespèreraient,désespéreraient
désespèrerais,désespérerais
désespèrerait,désespérerait
désespèreras,désespéreras
désespèrerez,désespérerez
désespèreriez,désespéreriez
désespèrerions,désespérerions
désespèrerons,désespérerons
désespèreront,désespéreront
déshydrogènera,déshydrogénera
déshydrogènerai,déshydrogénerai
déshydrogèneraient,déshydrogéneraient
déshydrogènerais,déshydrogénerais
déshydrogènerait,déshydrogénerait
déshydrogèneras,déshydrogéneras
déshydrogènerez,déshydrogénerez
déshydrogèneriez,déshydrogéneriez
déshydrogènerions,déshydrogénerions
déshydrogènerons,déshydrogénerons
déshydrogèneront,déshydrogéneront
déshypothèquera,déshypothéquera
déshypothèquerai,déshypothéquerai
déshypothèqueraient,déshypothéqueraient
déshypothèquerais,déshypothéquerais
déshypothèquerait,déshypothéquerait
déshypothèqueras,déshypothéqueras
déshypothèquerez,déshypothéquerez
déshypothèqueriez,déshypothéqueriez
déshypothèquerions,déshypothéquerions
déshypothèquerons,déshypothéquerons
déshypothèqueront,déshypothéqueront
désidérata,desiderata
désincarcèrera,désincarcérera
désincarcèrerai,désincarcérerai
désincarcèreraient,désincarcéreraient
désincarcèrerais,désincarcérerais
désincarcèrerait,désincarcérerait
désincarcèreras,désincarcéreras
désincarcèrerez,désincarcérerez
désincarcèreriez,désincarcéreriez
désincarcèrerions,désincarcérerions
désincarcèrerons,désincarcérerons
désincarcèreront,désincarcéreront
désinsèrera,désinsérera
désinsèrerai,désinsérerai
désinsèreraient,désinséreraient
désinsèrerais,désinsérerais
désinsèrerait,désinsérerait
désinsèreras,désinséreras
désinsèrerez,désinsérerez
désinsèreriez,désinséreriez
désinsèrerions,désinsérerions
désinsèrerons,désinsérerons
désinsèreront,désinséreront
désintègrera,désintégrera
désintègrerai,désintégrerai
désintègreraient,désintégreraient
désintègrerais,désintégrerais
désintègrerait,désintégrerait
désintègreras,désintégreras
désintègrerez,désintégrerez
désintègreriez,désintégreriez
désintègrerions,désintégrerions
désintègrerons,désintégrerons
désintègreront,désintégreront
désoxygènera,désoxygénera
désoxygènerai,désoxygénerai
désoxygèneraient,désoxygéneraient
désoxygènerais,désoxygénerais
désoxygènerait,désoxygénerait
désoxygèneras,désoxygéneras
désoxygènerez,désoxygénerez
désoxygèneriez,désoxygéneriez
désoxygènerions,désoxygénerions
désoxygènerons,désoxygénerons
désoxygèneront,désoxygéneront
despérado,desperado
despérados,desperados
dessèchera,desséchera
dessècherai,dessécherai
dessècheraient,dessécheraient
dessècherais,dessécherais
dessècherait,dessécherait
dessècheras,dessécheras
dessècherez,dessécherez
dessècheriez,dessécheriez
dessècherions,dessécherions
dessècherons,dessécherons
dessècheront,dessécheront
dessoula,dessoûla
dessoulai,dessoûlai
dessoulaient,dessoûlaient
dessoulais,dessoûlais
dessoulait,dessoûlait
dessoulâmes,dessoûlâmes
dessoulant,dessoûlant
dessoulas,dessoûlas
dessoulasse,dessoûlasse
dessoulassent,dessoûlassent
dessoulasses,dessoûlasses
dessoulassiez,dessoûlassiez
dessoulassions,dessoûlassions
dessoulât,dessoûlât
dessoulâtes,dessoûlâtes
dessoulée,dessoûlée
dessoulées,dessoûlées
dessoulent,dessoûlent
dessouler,dessoûler
dessoulera,dessoûlera
dessoulerai,dessoûlerai
dessouleraient,dessoûleraient
dessoulerais,dessoûlerais
dessoulerait,dessoûlerait
dessouleras,dessoûleras
dessoulèrent,dessoûlèrent
dessoulerez,dessoûlerez
dessouleriez,dessoûleriez
dessoulerions,dessoûlerions
dessoulerons,dessoûlerons
dessouleront,dessoûleront
dessoulez,dessoûlez
dessouliez,dessoûliez
dessoulions,dessoûlions
dessoulons,dessoûlons
dévanagari,devanagari
dévanagaris,devanagaris
dévon,devon
diésel,diesel
diésels,diesels
dièsera,diésera
dièserai,diéserai
dièseraient,diéseraient
dièserais,diéserais
dièserait,diéserait
dièseras,diéseras
dièserez,diéserez
dièseriez,diéseriez
dièserions,diéserions
dièserons,diéserons
dièseront,diéseront
diffèrera,différera
diffèrerai,différerai
diffèreraient,différeraient
diffèrerais,différerais
diffèrerait,différerait
diffèreras,différeras
diffèrerez,différerez
diffèreriez,différeriez
diffèrerions,différerions
diffèrerons,différerons
diffèreront,différeront
digèrera,digérera
digèrerai,digérerai
digèreraient,digéreraient
digèrerais,digérerais
digèrerait,digérerait
digèreras,digéreras
digèrerez,digérerez
digèreriez,digéreriez
digèrerions,digérerions
digèrerons,digérerons
digèreront,digéreront
dilacèrera,dilacérera
dilacèrerai,dilacérerai
dilacèreraient,dilacéreraient
dilacèrerais,dilacérerais
dilacèrerait,dilacérerait
dilacèreras,dilacéreras
dilacèrerez,dilacérerez
dilacèreriez,dilacéreriez
dilacèrerions,dilacérerions
dilacèrerons,dilacérerons
dilacèreront,dilacéreront
dime,dîme
dina,dîna
dinai,dînai
dinaient,dînaient
dinais,dînais
dinait,dînait
dinâmes,dînâmes
dinant,dînant
dinas,dînas
dinasse,dînasse
dinassent,dînassent
dinasses,dînasses
dinassiez,dînassiez
dinassions,dînassions
dinât,dînât
dinâtes,dînâtes
dinatoire,dînatoire
dinatoires,dînatoires
dinée,dînée
dinées,dînées
dinent,dînent
diner,dîner
dinera,dînera
dinerai,dînerai
dineraient,dîneraient
dinerais,dînerais
dinerait,dînerait
dineras,dîneras
dinèrent,dînèrent
dinerez,dînerez
dineriez,dîneriez
dinerions,dînerions
dinerons,dînerons
dineront,dîneront
diners,dîners
dines,dînes
dinette,dînette
dinettes,dînettes
dineur,dîneur
dineurs,dîneurs
dineuse,dîneuse
dineuses,dîneuses
dinez,dînez
diniez,dîniez
dinions,dînions
dinons,dînons
discontinument,discontinûment
disparait,disparaît
disparaitra,disparaîtra
disparaitrai,disparaîtrai
disparaitraient,disparaîtraient
disparaitrais,disparaîtrais
disparaitrait,disparaîtrait
disparaitras,disparaîtras
disparaitre,disparaître
disparaitrez,disparaîtrez
disparaitriez,disparaîtriez
disparaitrions,disparaîtrions
disparaitrons,disparaîtrons
disparaitront,disparaîtront
dissèquera,disséquera
dissèquerai,disséquerai
dissèqueraient,disséqueraient
dissèquerais,disséquerais
dissèquerait,disséquerait
dissèqueras,disséqueras
dissèquerez,disséquerez
dissèqueriez,disséqueriez
dissèquerions,disséquerions
dissèquerons,disséquerons
dissèqueront,disséqueront
djébel,djebel
djébels,djebels
docufiction,docu-fiction
docufictions,docu-fictions
dogcart,dog-cart
dogcarts,dog-carts
dragqueen,drag-queen
dragqueens,drag-queens
dryfarming,dry-farming
dryfarmings,dry-farmings
duffelcoat,duffel-coat
duffelcoats,duffel-coats
dumdum,dum-dum
dument,dûment
dussè,dussé
