fr-reforme1990_only,fr-classique_only
ainées,aînées
ainés,aînés
ainesse,aînesse
ainesses,aînesses
aitre,aître
aitres,aîtres
alcalinoterreuse,alcalino-terreuse
alcalinoterreuses,alcalino-terreuses
alcalinoterreux,alcalino-terreux
alcoolorésistant,alcoolo-résistant
alcoolorésistante,alcoolo-résistante
alcoolorésistantes,alcoolo-résistantes
alcoolorésistants,alcoolo-résistants
alèsera,alésera
alèserai,aléserai
alèseraient,aléseraient
alèserais,aléserais
alèserait,aléserait
alèseras,aléseras
alèserez,aléserez
alèseriez,aléseriez
alèserions,aléserions
alèserons,aléserons
alèseront,aléseront
aliènera,aliénera
aliènerai,aliénerai
alièneraient,aliéneraient
aliènerais,aliénerais
aliènerait,aliénerait
alièneras,aliéneras
aliènerez,aliénerez
alièneriez,aliéneriez
aliènerions,aliénerions
aliènerons,aliénerons
alièneront,aliéneront
allèchera,alléchera
allècherai,allécherai
allècheraient,allécheraient
allècherais,allécherais
allècherait,allécherait
allècheras,allécheras
allècherez,allécherez
allècheriez,allécheriez
allècherions,allécherions
allècherons,allécherons
allècheront,allécheront
allègera,allégera
allègerai,allégerai
allègeraient,allégeraient
allègerais,allégerais
allègerait,allégerait
allègeras,allégeras
allègerez,allégerez
allègeriez,allégeriez
allègerions,allégerions
allègerons,allégerons
allègeront,allégeront
allégretto,allegretto
allégro,allegro
allèguera,alléguera
allèguerai,alléguerai
allègueraient,allégueraient
allèguerais,alléguerais
allèguerait,alléguerait
allègueras,allégueras
allèguerez,alléguerez
allègueriez,allégueriez
allèguerions,alléguerions
allèguerons,alléguerons
allègueront,allégueront
allo,allô
altèrera,altérera
altèrerai,altérerai
altèreraient,altéreraient
altèrerais,altérerais
altèrerait,altérerait
altèreras,altéreras
altèrerez,altérerez
altèreriez,altéreriez
altèrerions,altérerions
altèrerons,altérerons
altèreront,altéreront
alvéolodentaire,alvéolo-dentaire
alvéolodentaires,alvéolo-dentaires
ambigüe,ambiguë
ambigües,ambiguës
ambigüité,ambiguïté
ambigüités,ambiguïtés
ampèreheure,ampère-heure
