source	code	creator	date	title	identifier	publisher
http://obvil.github.io/critique2000/tei/1937_reynier.xml	1937_reynier	Reynier, Gustave (1859-1937)	1937	Les femmes savantes de Molière : étude et analyse / par Gustave Reynier,...	http://gallica.bnf.fr/ark:/12148/bpt6k58367609	Mellottée (Paris)
http://obvil.github.io/critique2000/tei/1924_reyval.xml	1924_reyval	Reyval, Albert	1924	L'Église et le théâtre : essai historique / Albert Reyval,...	http://gallica.bnf.fr/ark:/12148/bpt6k58650679	Bloud et Gay (Paris)
http://obvil-dev.paris-sorbonne.fr/corpus/critique/ribot_pychologie-anglaise.xml	1881_ribot	Ribot, Théodule (1839-1916)	1881	La psychologie anglaise contemporaine	http://obvil.paris-sorbonne.fr/corpus/critique/ribot_psychologie-anglaise/	
http://obvil-dev.paris-sorbonne.fr/corpus/critique/ribot_attention.xml	1896_ribot	Ribot, Théodule (1839-1916)	1896	Psychologie de l’attention (3e édition)	http://obvil.paris-sorbonne.fr/corpus/critique/ribot_attention/	
http://obvil.github.io/critique2000/tei/1867_richaud.xml	1867_richaud	Richaud, Louis (1815-1892)	1867	Histoire du sonnet, sa grandeur et sa décadence : entretien littéraire / par M. Richaud,...	http://gallica.bnf.fr/ark:/12148/bpt6k5608516h	impr. de J.-G. Plantade (Cahors)
http://obvil.github.io/critique2000/tei/1872_richepin.xml	1872_richepin	Richepin, Jean (1849-1926)	1872	Les étapes d'un réfractaire : Jules Vallès / par Jean Richepin ; avec une eau-forte par André Gill	http://gallica.bnf.fr/ark:/12148/bpt6k1133654	A. Lacroix, Verboeckhoven (Paris)
http://obvil.github.io/critique2000/tei/1914_richepin.xml	1914_richepin	Richepin, Jean (1849-1926)	1914	À travers Shakespeare : conférences faites à l'Université des Annales / Jean Richepin,...	http://gallica.bnf.fr/ark:/12148/bpt6k5452517z	A. Fayard (Paris)
http://obvil.github.io/critique2000/tei/1920_richepin.xml	1920_richepin	Richepin, Jean (1849-1926)	1920	L'âme américaine à travers quelques-uns de ses interprètes : douze conférences, 1918-1919 / Jean Richepin,...	http://gallica.bnf.fr/ark:/12148/bpt6k113363c	E. Flammarion (Paris)
http://obvil.github.io/critique2000/tei/1818_ricord.xml	1818_ricord	Ricord, Alexandre (dit Alexandre Ricord fils, ou Pavot Ricord fils, puis Alexandre Ricord aîné)	1818	Quelques réflexions sur l'art théâtral, sur les causes de sa décadence, et sur les moyens à employer pour ramener la scène française à son ancienne splendeuré . Quatrième édition, augmentée d'un projet de comité de lecture dramatique et d'un aperçu sur le commencement des théâtres des différentes nations... et sur l'état actuel de la scène française. Par Ricord aîn	http://gallica.bnf.fr/ark:/12148/bpt6k55353367	Petit (Paris)
http://obvil.github.io/critique2000/tei/1887_rigal.xml	1887_rigal	Rigal, Eugène (1856-1920)	1887	Esquisse d'une histoire des théâtres de Paris, de 1548 à 1635 : Hôtel de Bourgogne et Marais / par Eugène Rigal,...	http://gallica.bnf.fr/ark:/12148/bpt6k111809k	A. Dupret (Paris)
http://obvil.github.io/critique2000/tei/1889_rigal.xml	1889_rigal	Rigal, Eugène (1856-1920)	1889	Alexandre Hardy et le théâtre français à la fin du XVIe et au commencement du XVIIe siècle / par Eugène Rigal,...	http://gallica.bnf.fr/ark:/12148/bpt6k111114v	Hachette (Paris)
http://obvil.github.io/critique2000/tei/1900_rigal.xml	1900_rigal	Rigal, Eugène (1856-1920)	1900	Victor Hugo : poète épique / Eugène Rigal,...	http://gallica.bnf.fr/ark:/12148/bpt6k29716v	Société française d'imprimerie et de librairie (Paris)
http://obvil.github.io/critique2000/tei/1901_rigal.xml	1901_rigal	Rigal, Eugène (1856-1920)	1901	Le théâtre français avant la période classique : fin du XVIe et commencement du XVIIe siècle / par Eugène Rigal,...	http://gallica.bnf.fr/ark:/12148/bpt6k204368h	Hachette (Paris)
http://obvil.github.io/critique2000/tei/1908_rigal.xml	1908_rigal	Rigal, Eugène (1856-1920)	1908	Molière...	http://gallica.bnf.fr/ark:/12148/bpt6k9611592t	Hachette (Paris)
http://obvil.github.io/critique2000/tei/1772_rigoleydejuvigny.xml	1772_rigoleydejuvigny	Rigoley de Juvigny, Jean-Antoine	1772	Discours sur le progrès des lettres en France , par M. Rigoley de Juvigny,...	http://gallica.bnf.fr/ark:/12148/bpt6k6362872f	Saillant et Nyon (Paris)
http://obvil.github.io/critique2000/tei/1787_rigoleydejuvigny.xml	1787_rigoleydejuvigny	Rigoley de Juvigny, Jean-Antoine	1787	De la décadence des lettres et des moeurs, depuis les Grecs et les Romains jusqu'à nos jours . Par M. Rigoley de Juvigny,... Seconde édition	http://gallica.bnf.fr/ark:/12148/bpt6k6422148h	Mérigot le jeune (Paris)
http://obvil.github.io/critique2000/tei/1895_rimbaud.xml	1895_rimbaud	Rimbaud, Arthur (1854-1891)	1895	[Poésies complètes / Arthur Rimbaud ; avec préface de Paul Verlaine et notes de l'éditeur]	http://gallica.bnf.fr/ark:/12148/bpt6k70283g	L. Vanier (Paris)
http://obvil.github.io/critique2000/tei/1851_riocreux.xml	1851_riocreux	Riocreux, Denis-Désiré	1851	Le Moyen-âge et la Renaissance. Tome IV : histoire et description des moeurs et usages, du commerce et de l'industrie, des sciences, des arts, des littératures et des beaux-arts en Europe / Direction littéraire de M. Paul Lacroix ; Direction artistique de M. Ferdinand Seré...	http://gallica.bnf.fr/ark:/12148/bpt6k6544605w	
http://obvil-dev.paris-sorbonne.fr/corpus/critique/rivarol_dante.xml	1785_rivarol	Rivarol, Antoine de (1753-1801)	1785	De la vie et des poëmes de Dante	http://obvil.paris-sorbonne.fr/corpus/critique/rivarol_dante/	
http://obvil.github.io/critique2000/tei/1789_rivarol.xml	1789_rivarol	Rivarol, Antoine de (1753-1801)	1789	Réponse à la Réponse de M. de Champcenetz, au sujet de l'ouvrage de Mme la B. de S sur Rousseau	http://gallica.bnf.fr/ark:/12148/bpt6k6580660z	[s.n.]
http://obvil.github.io/critique2000/tei/1925_riviere.xml	1925_riviere	Rivière, Jacques (1886-1925)	1925	Études. Baudelaire, Paul Claudel, André Gide, Rameau, Bach, Franck, Wagner, Moussorgsky, Debussy, Ingres, Cézanne, Gauguin	http://gallica.bnf.fr/ark:/12148/bpt6k96135147	Gallimard (Paris)
http://obvil-dev.paris-sorbonne.fr/corpus/critique/riviere_quelques-progres.xml	1927_riviere	Rivière, Jacques (1886-1925)	1927	Quelques progrès dans l’étude du cœur humain (Freud et Proust)	http://obvil.paris-sorbonne.fr/corpus/ critique/riviere_quelques-progres	
http://obvil.github.io/critique2000/tei/1938_riviere.xml	1938_riviere	Rivière, Jacques (1886-1925)	1938	Rimbaud . [Nouvelle édition.]	http://gallica.bnf.fr/ark:/12148/bpt6k96139099	Impr. Paillart (Abbeville)
http://obvil-dev.paris-sorbonne.fr/corpus/critique/rod_assommoir.xml	1879_rod	Rod, Édouard (1857-1910)	1879	À propos de “l’Assommoir”	http://obvil.paris-sorbonne.fr/corpus/critique/rod_assommoir/	
http://obvil.github.io/critique2000/tei/1888_rod.xml	1888_rod	Rod, Édouard (1857-1910)	1888	Études sur le XIXe siècle : Giacomo Leopardi ; les préraphaélites anglais ; Richard Wagner et l'esthétique allemande ; Victor Hugo ; Garibaldi ; les véristes italiens ; M. E. de Amicis ; la jeunesse de Cavour, par Édouard Rod,...	http://gallica.bnf.fr/ark:/12148/bpt6k9611217t	Perrin (Paris)
http://obvil-dev.paris-sorbonne.fr/corpus/critique/rod_idees-morales.xml	1892_rod	Rod, Édouard (1857-1910)	1892	Les Idées morales du temps présent	http://obvil.paris-sorbonne.fr/corpus/critique/rod_idees-morales/	
