GRAPH;ORTH
Mme;madame
mme;madame
Mmes;mesdames
mmes;mesdames
moeur;mœur
moeurs;mœurs
Montchrétien;Montchrestien
Monte-Christo;Monte-Cristo
Moyen-Age;Moyen Âge
Mr;monsieur
mr;monsieur
Mrs;messieurs
mrs;messieurs
Munster;Münster
Murger;Mürger
Napierkowska;Napierkovska
Nemtchinova;Nemtchinova
Nicolaeva;Nicolaïeva
Niemtchinova;Nemtchinova
Nijinska;Nijinska
Nijinski;Nijinski
Nijinsky;Nijinski
noeud;nœud
noeuds;nœuds
nov;novembre
Novikoff;Novikov
oct;octobre
oecuménique;œcuménique
oecuméniques;œcuméniques
oecuménisme;œcuménisme
oedémateuse;œdémateuse
oedème;œdème
oedèmes;œdèmes
oedipe;œdipe
oedipien;œdipien
oedipienne;œdipienne
oeil;œil
œil-de-boeuf;œil-de-bœuf
oeillade;œillade
oeillades;œillades
oeillère;œillère
oeillères;œillères
oeillet;œillet
oeilleton;œilleton
oeilletons;œilletons
oeillets;œillets
oeillette;œillette
oeils;œils
œils-de-boeuf;œils-de-bœuf
oeils-de-perdrix;œils-de-perdrix
oenologie;œnologie
oenologique;œnologique
oenologues;œnologues
oenophile;œnophile
oenothère;œnothère
oesophage;œsophage
oesophages;œsophages
oesophagien;œsophagien
oesophagienne;œsophagienne
oesophagiennes;œsophagiennes
oestrogène;œstrogène
oestrogène;œstrogène
oestrogènes;œstrogènes
oestrogènes;œstrogènes
oeuf;œuf
oeufs;œufs
oeuvraient;œuvraient
oeuvrait;œuvrait
oeuvrant;œuvrant
oeuvre;œuvre
oeuvre;œuvre
oeuvré;œuvré
oeuvrent;œuvrent
oeuvrer;œuvrer
oeuvrera;œuvrera
oeuvres;œuvres
oeuvres;œuvres
oeuvrette;œuvrette
oeuvrettes;œuvrettes
oeuvrez;œuvrez
oeuvrions;œuvrions
Oghinska;Oginska
oh;ho
Ormus;Ormuz
P.S;post-scriptum
Paderewsky;Paderewski
Panza;Pança
Pavlova;Pavlova
Pawlova;Pavlova
Pétrouchka;Petrouchka
Philamintes;Philaminte
Philelphe;Filelfo
phoenix;phœnix
pied-d'oeuvre;pied-d'œuvre
pique-boeufs;pique-bœufs
Pistoïa;Pistoia
Pistoie;Pistoia
Poliziano;Politien
Polovtsiennes;Polovtsiennes
Prokofieff;Prokofiev
Prudhomme;Sully-Prudhomme
rancoeur;rancœur
rancoeurs;rancœurs
Rimski-Korsakoff;Rimski-Korsakov
Rimsky;Rimski-Korsakov
Rimsky-Korsakoff;Rimski-Korsakov
Rob-Roy;Rob Roy
Rocroy;Rocroi
Romanoff;Romanov
roy;roi
sacré-coeur;sacré-cœur
Sakharoff;Sakharov
Sakharoffs;Sakharov
sans-coeur;sans-cœur
Santillane;Santillana
Schéhérazade;Shéhérazade
Schérer;Scherer
Sénancour;Senancour
Sénancourt;Senancour
sep;septembre
sept;septembre
Sforce;Sforza
shakspearien;shakespearien
Shylok;Shylock
sizième;sixième
Smolzoff;Smolzov
soeur;sœur
soeurette;sœurette
soeurs;sœurs
Souwaroff;Souvarov
St;Saint
Stanislavsky;Stanislavski
Ste;Sainte
Stravinsky;Stravinsky
Strawinsky;Stravinsky
Sunium;Sounion
Svirskaya;Svirskaïa
Taïroff;Tairov
tape-à-l'oeil;tape-à-l'œil
tape-à-l'oeil;tape-à-l'œil
Tartufe;Tartuffe
Tchaikovsky;Tchaïkovski
Tchaikowsky;Tchaïkovski
Tchaïkowsky;Tchaïkovski
Tchernicheva;Tchernitcheva
Tchernitcheva;Tchernitcheva
tems;temps
Thangs;Tang
Thibet;Tibet
Tokio;Tokyo
Tréfilova;Trefilova
trompe-l'oeil;trompe-l'œil
Tzar;Tsar
Velasquez;Velázquez
Vélasquez;Velázquez
Vévey;Vevey
Viellé-Griffin;Vielé-Griffin
Ville-Hardouin;Villehardouin
Villeroi;Villeroy
Vladimiroff;Vladimirov
voeu;vœu
voeux;vœux
voi;vois
Vve;veuve
vve;veuve
Warrens;Warens
Wawerley;Waverley
Weymar;Weimar
Wilhem;Wilhelm
Wishnou;Vishnou
Wladislas;Ladislas
Xantippe;Xanthippe
Xercès;Xerxès
Yurieva;Iourieva
Zwéreff;Zverev
